x,y
2,104
2,103
0,97
2,93
2,90
2,89
2,87
2,85
5,82
5,78
5,75
0,71
2,70
3,63
2,62
0,60
2,52
0,49
2,49
3,47
2,46
2,35
0,33
2,32
3,30
2,29
0,28
0,24
0,23
0,22
0,21
0,20
2,22
2,20
3,19
2,18
2,12
2,11
5,8
9,10
12,5
15,8
15,11
17,20
15,30
17,32
18,38
25,40
25,37
25,35
25,28
25,25
25,21
25,17
25,14
25,12
25,11
25,6
32,10
40,6
38,11
40,14
48,18
48,17
48,10
51,7
54,0
57,5
56,9
57,9
62,10
71,9
74,6
80,5
84,6
86,9
80,15
99,17
87,25
86,29
80,31
71,25
71,28
71,29
71,35
71,37
71,39
71,40
74,45
77,42
84,45
86,40
99,34
99,51
84,50
84,55
79,58
84,59
86,64
99,68
87,68
86,70
86,73
87,74
86,80
86,82
86,85
99,85
87,89
86,91
86,94
87,95
99,102
99,104
86,101
86,103
80,105
74,107
74,111
74,115
74,119
81,116
81,112
84,115
84,119
84,125
86,127
84,133
80,132
80,129
74,125
71,126
71,127
74,131
74,133
80,135
84,136
84,138
86,141
80,147
74,136
74,138
71,141
64,142
63,148
63,150
71,157
87,157
80,160
74,162
70,167
57,152
56,152
48,153
48,150
48,148
48,143
48,142
48,141
48,138
48,137
49,135
48,133
48,132
63,141
63,138
64,136
63,132
57,124
55,124
64,108
63,107
63,105
71,103
71,101
71,96
71,95
71,94
64,95
64,89
71,91
71,90
72,88
71,86
71,85
71,82
71,80
64,78
63,79
71,75
71,74
71,73
71,70
71,69
72,67
71,65
71,64
74,60
78,60
78,56
79,54
78,53
74,50
74,56
63,56
57,58
63,54
64,48
63,47
63,44
64,42
63,38
63,35
63,33
64,27
63,26
63,23
64,21
63,17
49,20
48,22
48,23
38,24
40,25
48,26
48,27
48,28
48,33
48,35
48,38
48,39
38,36
40,37
41,43
49,41
48,43
48,44
48,47
48,48
48,49
48,54
48,56
40,54
38,53
34,52
34,56
34,64
38,65
38,68
38,70
40,75
40,78
48,79
48,80
41,82
40,84
40,87
41,88
48,90
48,91
48,93
49,94
40,94
40,96
40,99
41,103
40,105
48,105
48,106
48,107
48,108
41,109
40,108
40,115
34,117
34,121
35,128
38,131
35,132
38,135
38,141
38,145
38,150
38,155
54,167
42,167
38,159
32,153
33,154
32,156
33,158
32,160
28,160
28,156
28,150
28,145
31,142
28,141
28,135
28,131
28,127
28,123
25,115
25,110
25,109
25,108
25,105
25,104
26,102
25,100
25,99
25,96
25,94
25,89
25,88
25,87
25,84
25,83
26,81
25,79
25,78
25,75
25,74
28,70
28,68
34,67
28,65
25,62
25,60
25,54
26,53
25,52
15,47
17,49
18,55
15,64
18,70
11,73
11,76
17,85
17,87
17,90
11,92
10,92
17,104
11,106
12,109
15,112
15,116
15,121
15,126
15,130
10,129
9,131
11,133
11,141
11,144
15,142
15,145
15,147
17,150
14,167
11,156
2,150
5,147
5,145
5,142
2,139
2,137
5,131
5,127
9,127
10,125
9,124
5,121
5,116
8,113
5,112
5,108
0,108
