x,y
5,8
10,10
11,10
11,12
11,15
15,11
15,8
12,5
16,0
17,0
18,0
19,0
25,10
25,12
28,18
28,16
28,12
28,6
28,8
32,10
33,10
34,5
38,6
38,8
34,10
35,13
34,17
38,16
38,18
34,24
33,24
33,26
32,28
33,31
32,33
31,33
28,32
28,30
28,27
28,25
25,26
25,24
25,22
25,21
25,20
17,24
17,25
17,28
25,28
25,30
25,31
25,33
25,35
28,38
25,41
25,43
25,46
25,52
25,53
25,56
25,57
25,58
25,60
25,61
28,49
31,45
32,45
33,45
34,45
35,45
31,41
32,41
33,42
34,41
38,43
41,47
41,48
48,46
48,47
48,49
48,52
48,53
48,54
40,53
40,57
40,58
40,61
35,63
34,63
33,63
32,63
31,63
28,67
31,69
32,69
33,69
34,70
34,72
41,64
41,65
41,67
41,68
41,69
51,78
51,84
57,82
55,78
56,76
61,77
61,73
61,70
57,69
55,71
56,72
55,74
51,74
51,70
51,67
48,63
48,61
51,59
57,65
58,56
61,59
63,61
63,63
71,69
72,64
71,63
71,59
71,58
71,57
71,56
63,54
63,53
63,49
63,47
63,46
63,45
63,40
63,38
63,35
63,34
63,39
61,43
57,42
56,42
51,43
48,44
48,45
48,42
48,40
48,39
48,38
48,37
48,35
48,34
48,33
38,35
38,32
34,33
34,36
33,34
34,31
34,28
33,28
34,26
38,27
38,25
40,21
40,22
51,21
57,22
57,19
48,16
48,9
51,6
57,5
62,0
61,6
63,9
64,16
74,7
74,11
74,15
74,19
74,26
74,34
80,35
81,22
78,19
79,17
78,15
79,13
78,12
80,5
80,0
81,8
84,11
84,14
84,18
97,17
97,13
103,11
97,10
94,6
99,0
103,8
109,6
117,6
120,10
126,8
126,0
132,6
126,11
120,13
120,17
117,18
117,19
117,21
117,23
120,23
124,21
125,21
126,21
126,26
124,24
117,24
117,26
117,27
117,28
117,30
117,31
117,33
117,34
117,35
117,37
117,39
117,45
117,47
120,49
120,55
120,61
117,62
117,63
120,67
120,69
120,71
120,74
126,73
126,75
130,74
130,71
130,69
126,68
126,65
132,63
130,61
130,55
127,52
126,48
125,46
124,45
123,45
120,43
120,41
123,37
124,37
126,37
125,38
126,40
126,45
130,47
130,49
130,43
130,41
130,39
132,35
132,34
132,31
132,19
140,19
140,17
140,15
140,14
140,13
140,12
140,10
140,6
144,0
143,12
147,10
148,10
149,10
155,6
155,14
155,15
149,17
149,20
148,17
147,17
143,19
143,21
143,23
140,27
140,28
143,33
140,38
140,40
143,43
140,45
140,46
140,47
146,49
143,52
143,57
140,61
140,62
141,64
140,66
140,67
140,70
140,71
140,72
140,77
140,79
143,82
143,84
143,89
143,95
140,97
133,95
132,96
140,98
141,100
140,102
140,103
140,107
140,108
140,113
133,106
133,112
132,122
132,124
133,125
143,135
146,132
143,129
143,124
146,121
148,115
155,113
156,107
155,103
156,101
155,97
153,95
153,89
150,86
149,81
153,84
153,82
155,79
155,77
156,71
155,70
155,67
156,65
155,61
153,57
153,52
155,47
155,46
153,43
149,42
149,34
153,33
150,30
155,27
153,23
153,21
163,23
166,18
166,16
166,13
166,11
163,10
163,6
162,0
176,0
178,6
186,6
194,10
195,10
201,6
199,11
199,13
195,15
194,15
193,15
189,13
189,11
186,11
186,13
186,16
189,17
186,18
186,20
189,21
186,22
186,24
189,25
186,26
186,28
189,29
201,33
195,35
186,33
186,32
186,30
176,18
176,16
176,13
176,11
172,10
171,10
172,12
172,15
172,22
171,22
170,22
166,24
163,25
163,27
166,28
163,29
163,31
166,32
163,33
163,35
166,36
163,37
163,39
166,40
163,41
163,43
166,44
163,45
163,47
163,49
166,48
166,53
172,51
176,57
172,56
166,57
163,60
163,61
164,63
163,65
163,66
163,70
163,71
163,76
163,85
166,85
166,88
166,90
166,94
166,98
166,100
163,105
172,97
176,98
172,92
176,90
176,88
176,85
172,87
171,84
172,84
171,78
178,76
186,85
186,84
186,83
186,82
187,71
186,70
186,67
186,68
179,70
178,66
179,64
178,60
186,56
186,57
201,56
202,55
209,51
209,52
210,54
209,56
209,57
209,60
209,61
209,62
209,67
202,66
202,72
218,69
224,67
225,61
224,60
224,57
225,55
224,51
222,47
222,43
224,39
224,38
222,36
218,41
217,42
216,41
215,41
216,44
217,46
216,48
212,48
209,48
209,47
212,44
209,44
209,43
209,41
209,39
209,38
212,36
212,34
209,35
209,34
209,32
212,31
216,32
217,32
218,32
218,35
217,35
222,31
218,30
217,30
212,27
209,30
209,28
209,26
209,24
212,23
209,22
209,20
212,19
209,18
209,16
209,14
212,15
212,10
212,8
216,13
217,13
218,13
218,9
219,5
222,8
222,10
241,0
246,9
246,10
246,17
246,25
246,30
246,31
246,32
246,33
246,41
246,43
246,44
246,45
246,46
246,47
246,48
246,49
246,57
246,65
246,73
246,81
246,89
246,97
246,98
246,105
225,114
224,113
224,110
225,108
224,104
222,101
222,99
218,98
218,94
224,92
225,86
224,85
224,82
225,80
224,76
222,74
218,73
212,74
209,76
209,77
210,79
209,81
209,82
201,82
201,84
202,85
209,85
209,86
209,87
209,92
212,99
212,101
209,104
209,105
210,107
209,109
209,110
209,113
209,114
209,115
209,120
209,122
209,124
209,125
209,127
209,128
209,130
209,131
209,134
209,135
212,140
216,137
217,137
218,137
219,137
222,140
224,120
224,122
224,125
224,128
224,131
224,135
225,138
225,140
225,141
225,142
222,145
218,144
217,144
216,146
217,146
218,146
218,149
217,149
217,152
218,152
222,150
222,153
224,155
224,156
222,159
218,158
217,158
218,160
217,160
217,162
218,162
222,161
222,163
224,165
224,166
224,167
224,170
218,172
217,172
216,172
218,177
217,177
216,179
217,179
218,179
222,178
224,183
225,187
224,189
224,192
225,193
246,193
246,200
246,208
246,216
246,224
246,232
223,241
222,235
219,232
224,230
224,229
224,228
222,226
224,222
224,220
225,214
224,213
224,210
225,208
224,204
224,201
224,199
218,224
217,225
216,224
215,224
212,235
199,233
189,233
189,231
193,223
195,223
195,230
199,231
209,230
209,229
209,228
209,226
209,224
209,222
209,220
209,215
209,214
209,213
209,210
209,209
210,207
201,204
201,206
202,207
209,205
209,204
209,201
209,199
202,194
202,188
209,194
209,193
209,192
209,189
209,188
210,186
209,184
209,183
209,181
212,181
212,178
209,179
209,177
201,178
202,177
209,175
212,174
209,173
209,170
209,169
209,167
209,166
209,165
209,164
209,162
209,160
212,163
212,161
212,159
209,158
209,156
209,155
209,154
212,153
212,150
212,148
212,145
209,144
209,146
209,148
209,150
209,152
201,155
195,157
201,153
202,147
201,146
201,143
202,141
201,137
201,134
199,132
199,130
195,129
194,129
189,130
189,128
189,120
189,114
194,113
195,113
196,116
199,114
195,108
195,101
193,101
194,108
193,108
189,110
186,114
186,111
186,109
179,105
176,100
172,104
173,108
166,111
166,114
163,114
163,120
166,116
169,117
171,113
172,113
176,111
176,114
176,116
186,130
189,132
186,133
186,134
186,137
186,138
187,140
186,142
186,143
186,146
186,147
186,148
186,153
186,155
179,156
179,158
178,159
172,161
176,162
176,164
176,169
176,174
186,178
186,179
176,180
176,178
172,177
172,182
170,187
171,188
170,190
176,189
186,189
186,190
186,192
187,193
186,204
186,205
186,206
186,207
178,197
176,193
171,192
170,194
172,199
172,202
166,194
166,190
166,184
166,180
166,178
166,174
166,169
169,166
166,164
166,162
163,159
163,158
163,157
163,156
163,150
166,148
170,149
178,150
176,148
173,145
166,144
163,144
163,141
166,140
170,138
171,138
172,138
172,136
171,136
171,134
172,134
176,137
176,135
176,133
172,132
171,132
166,133
166,135
166,137
163,139
163,136
163,134
163,132
163,128
169,125
153,124
153,129
153,135
153,140
153,145
148,144
147,143
143,140
143,146
147,146
148,148
147,150
143,150
149,152
153,149
150,163
153,166
153,172
149,173
153,174
153,176
155,179
155,180
155,181
155,184
156,188
155,190
155,193
156,194
163,197
166,201
166,204
166,208
171,211
172,211
163,212
155,200
155,202
155,205
156,209
155,211
155,214
156,215
155,221
155,223
163,222
166,223
171,222
172,222
176,223
178,227
172,230
173,233
176,236
176,241
168,241
166,236
166,232
163,228
163,227
153,226
149,225
148,225
149,227
149,230
143,226
143,229
143,232
143,236
133,233
126,223
140,225
140,223
140,221
140,216
140,215
140,214
140,211
140,210
141,208
140,206
140,205
140,202
140,200
140,195
140,194
140,193
140,190
140,189
141,187
140,185
140,184
140,181
140,180
140,179
143,176
143,174
143,172
143,166
133,181
133,186
133,187
130,190
132,192
132,193
130,197
130,201
130,207
126,208
125,208
120,207
117,209
120,201
127,198
126,195
125,196
124,195
123,195
126,189
125,189
120,190
117,197
117,195
117,193
117,192
117,191
117,189
120,188
117,185
117,181
123,184
124,184
125,184
126,184
127,184
126,180
130,176
130,174
126,173
120,174
120,176
126,169
132,167
133,161
132,160
132,157
133,155
132,151
130,149
126,148
126,141
124,141
120,149
117,151
117,152
118,154
117,156
117,157
117,160
117,161
117,162
117,167
110,168
110,169
109,172
110,176
109,178
109,181
110,182
109,188
109,190
109,193
110,197
109,199
109,202
110,203
109,209
109,211
104,213
107,216
103,217
97,216
94,221
94,223
97,226
103,225
107,226
117,233
123,241
109,234
107,231
107,229
103,228
97,229
97,231
94,234
84,233
84,231
84,228
80,227
80,230
74,233
74,231
74,228
71,225
71,223
71,212
71,213
74,218
80,219
84,218
81,215
86,213
86,212
94,211
94,209
94,204
94,203
94,202
94,199
94,198
95,196
94,194
94,193
94,190
94,188
94,183
94,182
94,181
94,178
94,177
95,175
94,173
94,172
97,170
97,165
100,166
101,166
102,164
103,164
102,166
103,166
104,166
107,165
109,162
109,161
107,159
110,154
103,158
102,158
97,159
94,154
94,158
94,160
94,161
94,162
94,164
94,167
84,176
80,179
84,180
84,182
86,185
87,189
86,191
86,194
87,195
86,201
86,203
86,206
80,208
74,210
71,211
71,206
71,203
71,201
71,196
71,195
71,194
71,191
71,190
72,188
71,186
71,185
74,182
74,180
74,176
74,172
74,170
71,171
71,169
71,168
71,166
71,164
74,165
77,166
78,166
80,166
79,167
80,169
79,169
79,171
80,171
81,173
84,172
84,170
84,168
84,165
84,161
87,157
86,150
84,147
80,146
79,140
86,138
87,132
86,128
87,126
86,122
79,115
86,113
87,107
86,103
87,101
86,97
87,93
86,92
87,89
86,88
86,82
87,80
87,70
97,68
97,70
97,73
97,75
97,80
101,77
102,78
101,80
102,82
101,84
97,84
94,87
94,88
94,89
97,92
97,94
97,96
94,99
94,100
95,102
94,104
94,105
94,108
94,109
94,110
94,115
94,117
94,120
94,121
95,123
94,125
94,126
94,129
94,130
94,131
94,136
94,138
103,144
109,138
109,136
110,130
109,129
109,126
110,124
117,125
117,124
117,123
117,122
109,120
109,117
109,115
118,111
117,110
117,108
117,107
110,109
109,108
109,105
110,103
117,96
117,97
109,99
107,96
107,94
103,93
103,91
107,92
109,89
109,88
109,87
107,83
107,79
107,75
107,73
107,70
103,72
103,69
