x,y
18,86
18,80
25,80
25,81
26,83
25,85
25,86
25,89
25,90
25,91
25,96
17,96
17,98
18,99
25,102
25,103
25,104
28,109
28,111
28,114
25,110
25,113
25,115
25,117
28,118
33,121
34,121
25,119
25,122
25,130
28,131
28,136
31,138
32,138
34,139
33,138
31,132
32,132
33,132
34,132
33,130
34,130
35,132
38,131
41,134
41,136
41,138
41,142
41,144
41,146
41,150
41,152
41,154
48,157
51,157
56,150
56,156
57,156
61,157
61,159
61,161
57,163
56,163
55,163
51,161
51,159
48,159
48,161
48,164
48,166
51,165
51,169
48,168
48,170
48,173
48,175
51,177
55,175
56,175
57,175
51,183
48,183
48,180
48,179
48,178
48,177
41,178
41,176
41,174
41,170
41,168
41,166
41,162
41,160
41,158
34,163
33,162
32,162
34,155
33,154
32,154
34,147
33,146
32,146
31,146
28,144
28,152
31,154
28,160
31,162
28,168
32,170
33,170
34,171
31,170
28,176
31,178
32,178
33,178
34,179
33,181
34,181
38,182
34,183
33,183
32,183
28,185
28,182
25,181
25,184
25,186
25,188
28,189
33,192
34,192
38,193
38,196
38,198
34,199
34,197
33,197
33,195
34,194
32,194
31,194
28,193
25,190
25,192
25,194
25,196
25,197
17,195
17,194
15,192
17,189
17,188
17,185
17,184
15,182
11,181
11,178
10,178
9,178
5,180
5,175
5,171
11,169
11,166
17,164
5,160
2,159
2,157
5,156
9,154
10,154
11,154
10,143
11,143
17,141
17,139
18,133
17,132
17,129
18,127
17,123
11,115
9,115
0,111
0,121
2,123
2,124
3,126
2,128
2,129
0,131
2,132
2,133
2,134
2,139
2,141
0,141
2,144
0,151
0,154
2,155
0,161
2,161
2,164
5,168
0,171
2,178
2,180
0,181
2,181
2,183
2,184
2,185
2,187
2,188
2,189
2,191
0,191
0,201
5,212
5,205
5,203
5,201
2,200
2,199
2,197
2,195
2,194
2,193
5,192
5,182
10,181
11,191
10,191
8,197
9,197
11,197
10,198
10,200
11,202
11,200
15,199
15,201
15,203
15,205
28,198
28,201
28,205
38,212
51,204
51,202
57,201
61,204
61,202
61,199
57,198
51,199
48,196
48,194
51,189
48,187
51,187
51,185
56,182
57,182
57,186
56,186
57,190
61,189
61,187
61,185
61,183
63,180
63,179
63,173
74,175
71,181
71,186
71,188
71,189
71,197
74,194
74,192
74,189
77,186
78,186
87,181
84,188
80,186
79,187
78,189
80,191
84,192
84,194
86,197
80,203
85,212
97,206
97,204
94,200
97,197
94,197
94,196
97,193
94,193
94,192
97,189
94,189
94,188
94,186
97,184
97,182
97,180
94,180
94,178
94,176
97,175
94,174
94,172
94,170
94,166
94,168
97,171
101,178
102,178
103,178
103,181
100,186
101,186
102,187
101,189
102,191
101,193
102,195
101,197
102,199
104,201
103,205
107,206
107,204
107,200
107,196
107,192
107,188
103,186
107,184
107,182
117,182
117,184
117,185
117,187
117,189
117,191
117,192
117,193
117,199
120,198
120,200
120,202
117,205
118,212
119,212
120,212
121,212
122,212
123,212
124,212
125,212
126,212
127,212
128,212
129,212
130,212
132,205
130,202
130,200
126,201
126,199
125,199
126,196
126,192
133,193
140,193
140,192
140,191
140,188
140,186
140,184
140,182
140,178
140,177
140,176
140,175
143,173
149,181
148,181
147,181
143,183
143,187
147,190
149,194
143,200
140,200
140,204
143,202
148,199
149,199
153,200
153,202
155,204
166,202
166,206
170,206
177,212
176,205
176,201
171,204
170,202
171,200
170,199
172,196
176,194
172,193
171,193
166,198
166,194
163,194
163,190
163,188
163,182
172,184
166,181
163,180
163,178
166,177
163,176
163,174
163,172
166,173
171,171
172,171
172,168
171,168
170,171
166,169
166,165
166,163
171,160
172,160
171,156
172,156
176,155
176,157
176,159
176,161
176,163
176,165
176,169
186,169
189,169
186,168
186,166
186,164
186,162
186,160
189,160
189,162
189,164
192,166
193,166
194,167
193,169
193,171
189,174
186,178
186,180
189,180
189,184
186,186
186,188
186,189
186,192
186,193
186,196
189,205
189,201
189,198
189,196
189,193
189,189
192,186
193,186
194,187
193,189
194,191
193,193
194,195
195,195
195,199
199,198
199,196
199,192
199,188
195,186
199,184
196,181
195,178
194,178
193,178
194,171
195,171
196,171
199,174
202,175
202,176
202,174
202,172
199,168
195,166
194,159
195,159
195,152
199,153
201,156
199,160
199,162
199,164
209,166
209,164
209,161
209,159
212,160
218,158
217,158
216,158
212,157
212,155
209,155
212,153
209,150
212,147
212,141
212,135
216,132
212,130
209,130
209,127
209,126
209,125
209,121
212,115
212,113
217,112
218,112
222,113
222,115
225,121
224,126
224,127
225,133
222,130
218,129
217,129
217,132
218,132
219,132
222,135
225,135
225,137
225,139
225,141
222,141
225,143
225,145
225,147
222,147
225,149
225,151
225,152
222,153
217,154
218,154
222,155
222,157
224,164
224,166
218,172
216,179
212,182
217,179
218,179
219,179
222,182
225,180
225,182
225,183
225,184
222,187
218,186
217,186
212,187
209,187
209,189
209,191
209,193
209,196
209,200
203,212
212,212
212,205
212,203
212,200
212,193
212,191
212,189
222,189
222,191
222,193
224,196
222,200
218,199
217,199
218,202
222,203
222,205
226,212
237,212
249,191
249,171
249,151
249,131
249,111
249,91
249,71
249,51
249,31
249,11
237,0
224,6
218,12
225,22
218,25
218,29
217,29
216,29
212,27
209,22
202,24
202,23
199,20
199,18
199,16
199,14
199,12
201,9
209,6
212,0
203,0
199,6
195,5
195,11
194,11
189,18
189,16
189,14
189,12
189,6
177,0
172,5
166,7
166,11
163,16
163,18
166,21
166,24
166,26
172,23
172,29
176,26
176,24
176,21
172,20
172,12
173,8
176,11
186,9
186,12
186,14
186,16
186,18
186,20
189,20
193,22
194,22
196,22
195,22
192,22
189,26
192,28
193,28
194,28
195,29
202,26
202,27
202,28
202,31
202,32
202,34
202,35
202,36
209,30
212,31
209,32
209,34
212,35
209,36
209,39
209,40
209,43
212,39
217,40
218,40
222,41
218,42
217,42
216,42
212,41
212,44
209,45
212,48
209,48
209,52
212,52
217,51
218,51
222,52
222,54
218,56
217,56
216,56
212,54
209,54
209,57
212,58
209,59
209,62
209,64
212,64
212,62
217,61
218,61
222,62
222,64
222,66
225,70
225,71
219,68
218,68
217,68
216,68
215,68
212,66
209,66
209,69
212,72
209,73
209,75
209,76
212,75
216,73
218,73
217,73
216,76
217,76
218,76
218,79
217,79
216,79
212,78
209,78
209,80
212,81
209,82
209,85
212,86
212,90
209,92
209,94
209,96
212,93
216,91
217,91
218,91
217,85
218,85
219,87
222,86
222,90
