x,y
2,97
2,95
5,96
5,100
2,99
2,101
2,103
5,104
2,105
0,106
2,107
5,108
2,109
0,109
0,113
2,112
5,112
2,116
0,120
5,121
5,124
2,123
0,123
0,127
0,134
0,137
2,134
2,128
5,128
10,127
10,123
11,123
15,121
12,118
17,116
15,124
11,127
15,128
17,134
17,140
17,142
11,136
5,138
2,140
2,142
0,141
0,145
0,148
2,149
0,151
0,155
2,157
17,157
11,159
10,159
9,159
5,161
2,160
2,162
0,162
0,165
2,165
2,166
5,165
5,167
9,168
10,168
11,168
10,166
11,166
15,167
15,172
11,171
11,173
11,176
11,178
15,177
15,179
11,180
10,180
9,180
10,178
10,176
10,173
9,173
10,171
5,172
5,170
2,168
0,169
2,170
2,171
2,173
2,175
2,176
0,176
0,179
2,178
5,175
5,177
5,179
5,182
2,181
2,183
0,186
2,185
11,185
10,185
9,185
5,187
2,187
2,189
0,190
2,190
2,191
0,193
2,194
5,195
2,197
0,197
0,200
0,204
2,200
5,201
5,203
5,207
2,206
2,209
2,211
0,211
0,214
2,213
5,214
2,216
2,217
2,218
0,218
0,221
2,222
5,222
5,226
0,228
5,230
2,234
0,235
2,241
0,242
2,246
0,249
2,251
5,255
5,259
2,264
3,264
4,264
5,264
15,259
12,256
11,253
17,251
17,246
17,241
17,234
15,230
12,227
11,224
15,222
11,221
10,221
11,217
10,213
11,213
10,206
11,206
11,202
10,200
11,200
10,194
11,194
11,190
18,191
15,195
17,197
15,201
15,203
15,207
17,209
17,211
15,214
18,218
25,221
25,223
25,225
28,226
25,227
25,229
25,231
25,232
28,231
32,229
33,229
34,229
32,232
33,232
34,232
35,232
38,235
41,234
41,233
40,237
40,238
39,241
34,240
33,240
28,235
25,236
25,237
25,238
25,241
25,248
25,250
28,254
28,258
32,264
33,264
34,264
35,264
38,258
35,255
34,252
40,250
40,248
48,246
51,251
48,256
48,258
57,252
61,251
58,248
57,243
56,243
55,243
51,245
48,244
48,241
48,240
48,239
51,238
48,238
48,236
48,235
48,233
48,231
48,230
48,229
51,228
54,233
55,233
57,233
56,234
55,236
56,236
57,236
63,241
63,240
61,235
63,231
63,230
61,228
57,227
56,227
57,224
56,224
57,222
61,223
71,223
71,225
71,227
74,227
71,228
71,229
71,230
71,232
71,234
74,234
74,236
74,238
71,236
71,239
71,240
71,241
71,242
71,248
71,250
74,253
74,256
74,258
80,255
84,258
84,256
84,253
80,252
80,244
86,242
86,241
86,240
84,238
84,236
86,230
86,229
80,235
79,235
78,232
79,232
80,232
80,225
79,225
78,225
80,220
79,220
80,216
78,220
74,222
71,221
71,217
71,216
71,215
71,212
74,213
79,212
80,212
84,213
87,217
80,209
79,209
78,209
74,211
71,211
71,209
71,206
71,204
71,203
71,202
74,197
80,195
80,190
84,191
86,193
86,199
87,202
87,203
87,204
87,206
94,203
94,202
97,203
94,200
97,199
100,200
101,200
102,201
101,203
100,205
97,209
100,211
101,211
102,211
103,212
110,218
110,219
109,223
109,224
107,228
103,229
103,232
102,232
101,232
102,229
101,229
102,227
103,226
101,226
100,226
103,220
102,219
101,219
100,219
97,217
94,222
94,223
94,224
94,226
94,228
94,229
94,231
94,232
97,231
97,234
94,234
94,236
94,238
97,241
94,241
94,243
97,244
97,246
94,249
94,256
110,256
109,249
107,246
107,244
103,245
103,243
102,243
102,240
103,240
107,241
109,238
109,236
128,249
128,235
128,221
110,217
110,215
110,214
110,211
110,210
110,209
110,207
110,206
107,202
104,205
103,205
102,205
101,205
103,200
107,199
107,197
103,196
102,196
103,193
103,190
102,193
101,193
97,195
97,197
94,197
94,195
94,193
94,190
94,188
94,186
94,185
94,184
94,181
97,181
102,183
101,181
100,178
101,178
102,179
103,178
107,180
107,184
109,186
109,187
109,188
110,190
128,193
128,179
128,165
128,151
128,137
128,123
128,109
128,95
128,81
128,67
128,53
128,39
128,25
128,15
128,11
107,11
107,7
102,6
101,5
101,8
102,10
97,8
97,12
101,12
103,16
102,16
101,16
97,18
97,20
101,21
102,19
103,19
102,21
103,21
107,20
109,25
109,26
109,29
109,30
109,31
110,34
110,36
110,37
110,43
103,49
103,52
107,54
107,56
107,58
103,59
102,59
101,59
103,55
102,55
102,53
101,52
100,52
101,49
102,49
103,46
103,42
94,37
94,36
94,35
94,34
94,31
94,30
94,29
94,28
94,26
94,25
94,24
97,23
94,23
94,21
94,19
94,18
94,16
86,13
86,11
80,5
71,0
70,0
74,7
71,11
71,13
71,16
71,18
71,19
71,21
71,23
74,23
74,20
74,18
78,16
79,16
80,16
79,19
80,19
84,20
80,21
78,21
79,21
80,24
80,27
79,27
78,27
79,30
80,30
80,33
79,33
80,36
84,37
80,38
79,38
78,38
79,36
78,33
78,30
74,29
74,26
71,27
71,29
71,30
71,32
71,33
71,35
71,36
74,32
74,35
74,37
74,40
71,38
71,40
71,42
71,43
71,44
71,45
71,50
74,51
71,52
71,54
74,57
71,58
71,59
71,60
74,65
71,67
74,67
79,66
80,66
84,67
84,65
81,62
86,60
86,59
87,56
87,55
84,57
81,54
80,54
79,54
78,54
78,49
79,49
80,49
87,45
87,44
87,42
94,41
94,42
94,43
94,49
97,48
97,51
94,51
94,52
94,54
94,56
97,56
97,58
97,61
94,60
94,62
94,64
97,65
94,66
94,68
97,69
94,70
94,72
97,73
94,74
94,76
97,77
94,78
94,80
97,81
94,82
94,89
102,94
103,94
110,89
107,95
107,97
103,102
97,97
97,95
94,95
87,96
87,92
87,90
87,88
87,84
87,82
87,80
87,76
87,74
87,72
84,69
81,70
80,70
79,70
78,70
77,70
74,69
74,74
77,76
78,76
79,76
80,77
74,82
78,84
79,84
80,85
77,84
74,90
77,92
78,92
79,92
80,93
74,98
77,100
78,100
79,100
80,101
87,98
87,100
87,104
87,105
87,111
74,106
71,107
71,108
71,109
71,111
71,114
71,115
71,116
