x,y
11,10
5,8
0,8
0,15
0,22
0,29
2,31
2,32
2,38
2,39
0,42
0,43
0,44
0,45
0,46
2,45
2,46
0,47
0,48
2,49
0,49
0,50
0,51
2,55
2,53
2,51
9,49
15,56
12,56
11,57
10,57
9,57
8,56
5,59
2,58
2,60
2,62
2,63
2,65
2,67
2,70
2,72
2,74
2,76
0,81
5,84
5,80
8,77
11,78
12,77
15,77
9,70
11,67
17,63
17,64
17,65
18,67
25,70
25,69
25,68
28,63
28,59
25,58
25,56
25,54
28,55
28,49
28,45
25,44
25,42
18,46
17,45
17,39
18,38
17,31
18,30
25,37
25,38
26,39
28,42
33,41
34,41
41,36
41,39
38,42
41,47
41,48
41,50
41,51
38,49
38,45
35,46
34,46
33,46
34,44
33,44
32,46
32,53
33,53
34,53
34,58
33,58
32,60
33,60
34,60
35,60
38,59
38,63
41,61
41,62
41,64
41,65
40,68
41,69
41,73
41,74
38,75
35,72
34,72
33,72
32,72
28,75
28,80
25,83
25,89
34,79
38,80
40,83
41,77
41,76
51,82
48,77
48,75
48,73
48,72
48,69
48,66
48,64
48,62
48,60
51,69
51,71
56,68
57,68
57,64
61,69
61,71
63,73
63,74
63,75
57,77
57,80
60,89
61,89
62,89
64,77
74,83
84,83
81,80
80,75
78,71
80,67
84,68
84,64
84,60
84,56
80,55
79,55
78,58
77,58
80,58
79,59
78,61
79,63
78,65
74,65
74,68
71,72
71,73
71,74
71,65
71,64
74,61
71,61
71,60
71,58
71,56
74,56
71,53
71,51
74,52
78,50
79,50
80,50
84,43
94,45
97,40
100,42
101,42
102,42
103,43
94,46
94,48
94,50
94,55
94,57
94,59
94,61
94,63
94,65
94,67
94,69
94,71
94,73
94,76
94,78
97,77
97,83
108,89
107,83
104,80
103,75
102,75
101,75
103,74
107,74
107,66
103,67
103,66
103,59
109,57
109,55
103,50
110,50
109,48
109,47
109,46
122,45
110,42
110,41
110,40
110,38
110,37
110,34
110,33
110,32
110,30
110,29
110,26
110,25
110,23
110,22
110,17
110,16
110,13
110,14
107,15
104,12
103,12
102,12
101,12
108,0
103,5
97,7
97,11
97,15
86,6
80,10
71,6
71,21
71,22
72,23
80,25
87,23
87,20
94,19
97,20
97,24
101,21
102,21
103,21
102,19
103,19
104,21
107,20
107,24
104,28
103,28
102,28
101,28
100,28
100,34
103,35
102,34
101,34
97,32
87,35
87,38
84,41
80,40
80,45
79,45
78,45
74,47
71,48
71,46
74,43
74,41
72,38
71,37
71,36
63,41
63,42
63,43
57,45
63,50
63,51
63,52
63,53
61,56
61,58
63,60
63,61
63,62
57,55
56,55
51,56
51,58
48,59
48,56
48,53
48,52
48,51
48,50
48,47
48,45
48,43
48,41
48,40
48,38
51,37
48,36
48,34
51,33
48,32
48,30
48,28
51,29
55,27
56,27
57,27
51,24
48,25
48,23
48,21
51,20
48,19
48,17
51,16
55,14
56,14
57,14
61,13
61,11
61,8
61,0
58,5
57,10
56,10
51,8
51,11
51,13
48,15
48,11
41,10
40,17
40,18
40,19
41,21
38,25
34,26
34,24
34,21
33,24
28,25
25,24
25,21
25,19
25,17
25,16
28,15
34,13
25,10
15,8
12,5
