x,y
2,20
5,21
5,24
5,30
9,27
10,27
11,27
12,27
15,30
18,31
18,32
18,29
18,28
25,27
25,24
25,22
28,23
32,21
28,18
25,15
25,13
28,8
35,5
38,8
34,9
34,17
38,18
34,21
33,21
34,26
33,26
32,26
28,28
25,29
25,32
25,34
25,35
25,37
25,39
28,32
33,31
34,31
38,32
40,35
40,36
40,37
41,39
34,39
40,43
40,45
40,48
40,49
40,50
34,52
33,56
34,56
38,57
38,59
34,60
34,67
34,68
38,67
48,70
48,69
48,68
51,64
48,60
48,58
48,56
48,55
51,54
51,52
48,52
49,49
48,48
48,47
56,51
57,51
64,46
57,36
61,33
61,29
63,25
63,24
63,23
63,22
64,18
57,27
55,27
54,27
56,28
55,30
56,32
55,34
51,34
48,34
48,33
51,30
48,30
48,29
48,27
48,25
48,24
48,23
48,22
48,18
48,11
51,8
51,6
57,5
60,0
61,0
62,0
61,6
61,8
63,11
71,9
74,6
80,5
84,6
86,9
103,5
108,0
110,15
110,18
103,20
95,18
94,17
94,16
87,25
80,15
71,25
80,28
80,31
74,30
74,33
74,37
71,39
71,40
71,42
71,44
71,46
79,48
78,53
79,53
80,53
84,51
84,49
80,48
80,44
86,42
86,41
86,40
94,41
94,42
94,48
94,49
94,55
94,56
94,60
109,49
110,48
109,41
110,40
122,45
110,56
109,55
103,59
102,59
101,59
97,61
94,62
94,64
97,65
94,66
94,68
94,70
97,69
97,75
97,81
101,72
102,72
103,72
104,72
107,75
110,75
110,73
122,73
110,76
110,77
110,79
110,81
110,82
110,83
107,81
103,85
110,95
110,98
108,101
97,101
95,98
94,97
94,96
84,95
81,92
80,90
79,89
78,89
77,89
74,95
74,87
78,81
77,81
74,79
77,75
78,75
79,75
80,75
81,75
79,81
80,82
87,89
87,88
87,87
87,85
87,84
87,81
87,80
87,79
87,77
87,76
87,73
87,72
87,70
87,69
84,71
81,68
80,68
79,68
78,68
74,71
74,67
71,67
71,64
74,63
71,62
71,60
74,59
71,58
71,56
74,55
71,54
71,51
74,51
74,49
71,49
64,49
61,52
61,54
63,56
63,57
63,58
64,60
61,64
57,60
57,63
55,67
57,71
57,76
56,76
55,76
51,78
51,82
51,88
57,89
58,85
61,88
62,101
61,101
60,101
48,95
48,93
48,83
48,81
48,79
48,77
41,77
38,75
34,76
33,76
32,76
34,75
35,76
38,79
41,78
41,80
41,81
38,84
34,83
33,83
34,86
34,89
28,95
28,91
28,88
25,84
28,84
28,79
25,74
25,72
25,70
25,68
25,66
25,64
25,62
25,60
28,59
28,57
25,57
25,54
25,52
18,55
18,56
15,59
11,58
10,58
9,63
17,61
15,70
15,72
12,70
11,71
10,71
8,70
5,72
9,73
11,77
17,83
17,84
17,85
18,87
15,91
15,93
11,90
11,87
5,93
5,91
2,87
0,87
2,85
2,83
2,82
0,81
0,79
2,76
2,75
2,74
0,74
0,73
2,71
2,69
2,67
0,67
2,65
2,63
2,61
0,60
2,58
5,59
5,54
9,51
10,51
11,51
12,51
15,54
18,53
18,52
25,50
25,48
25,47
25,45
25,43
15,45
12,45
11,46
10,46
9,46
8,45
5,48
0,53
2,49
2,47
0,46
0,45
0,44
0,43
2,44
2,42
2,40
0,39
2,38
2,35
5,35
5,37
9,38
15,37
15,35
11,34
10,34
0,32
0,29
2,25
2,23
0,22
2,17
2,15
2,13
2,12
0,8
5,7
11,5
12,8
15,11
17,13
17,14
17,15
18,17
15,21
11,22
10,22
9,22
10,20
11,20
11,17
5,11
0,15
