x,y
2,12
2,14
2,16
5,19
2,18
0,19
2,21
2,23
2,25
2,26
2,27
0,28
2,28
5,23
9,21
10,21
11,21
10,18
11,18
17,16
15,19
17,26
17,27
17,28
17,33
17,34
17,35
15,31
11,30
10,30
5,31
2,30
2,32
0,33
0,32
2,33
2,34
2,35
0,37
2,37
2,39
2,40
2,42
0,43
0,46
2,44
5,44
5,41
5,39
9,42
10,40
9,37
10,37
11,37
11,40
15,41
10,42
11,42
12,45
15,48
15,52
11,53
11,51
10,51
5,48
5,52
2,51
0,55
5,55
2,58
2,59
2,60
2,62
0,64
2,65
2,64
8,62
9,62
11,62
10,63
9,65
10,65
11,65
12,65
11,69
10,70
9,69
8,69
5,68
2,69
2,71
2,72
0,73
2,73
2,74
2,76
0,82
2,87
2,88
2,89
2,91
0,91
2,93
2,94
2,96
0,100
0,102
0,103
2,102
2,106
2,107
3,109
2,111
0,111
0,112
2,112
2,115
2,116
2,117
0,118
0,121
2,122
2,124
2,127
2,128
0,127
0,130
3,130
2,132
2,133
2,136
0,136
2,137
2,138
0,139
2,143
0,145
0,148
2,149
2,150
2,152
2,153
2,156
2,157
2,159
2,160
2,163
2,166
0,166
0,175
11,178
10,178
2,179
0,184
0,193
2,193
2,195
11,189
15,203
16,203
17,203
18,203
28,195
25,192
25,191
25,189
25,187
25,182
25,181
25,180
25,177
25,176
26,174
25,172
25,171
25,168
25,166
25,161
25,160
25,159
25,156
25,155
26,153
25,151
25,150
25,147
25,145
25,140
25,139
25,138
17,150
17,153
17,156
17,160
17,163
11,165
10,165
11,145
17,143
18,137
17,136
17,133
18,131
17,127
17,124
17,122
18,116
17,115
17,112
18,110
17,106
18,102
5,96
5,93
9,91
9,94
10,94
11,94
10,91
11,91
17,89
17,88
15,86
11,83
10,83
9,83
8,83
5,86
2,85
2,84
2,83
2,81
2,80
2,79
2,78
5,77
10,76
11,76
15,77
17,81
17,80
17,79
17,74
17,73
15,71
15,68
18,67
18,66
15,64
17,60
17,59
25,62
25,60
25,56
28,59
28,61
28,63
25,64
25,65
25,66
25,68
25,70
28,74
28,72
28,70
32,68
33,68
34,68
34,71
38,74
38,72
40,66
40,65
38,63
34,62
33,62
33,60
34,60
38,61
41,58
41,57
41,53
41,52
35,55
34,55
33,55
32,55
31,55
28,54
25,51
25,49
28,49
31,50
32,50
33,50
34,50
35,50
34,47
33,47
32,47
35,42
34,42
33,42
32,42
31,42
28,46
25,47
25,43
25,40
28,38
25,35
25,34
25,32
28,31
31,32
32,32
33,33
32,35
33,35
34,35
35,35
38,38
40,40
41,44
41,45
48,46
48,45
48,44
51,43
48,40
48,39
48,37
51,36
54,37
55,37
56,35
57,35
57,37
56,38
55,40
56,40
57,40
58,40
61,39
64,41
64,42
61,43
63,45
63,46
58,48
61,51
61,54
61,58
56,57
55,55
56,53
55,52
51,51
51,55
51,59
55,59
57,61
57,69
48,65
48,67
51,70
51,73
51,75
57,72
61,70
61,73
61,75
63,80
64,84
63,86
63,89
64,90
63,96
63,98
57,100
48,98
48,96
48,91
48,90
48,89
48,86
48,85
49,83
48,81
48,80
41,79
41,80
38,81
35,78
34,78
33,78
32,78
34,82
33,82
32,82
28,84
28,81
25,78
25,82
25,84
25,85
25,86
25,87
25,89
25,90
25,91
25,93
28,96
32,93
33,93
34,93
35,93
40,86
40,87
40,90
40,91
41,94
41,95
38,96
40,98
40,99
40,102
40,105
40,108
41,112
40,114
40,117
41,118
25,97
25,98
25,99
25,101
25,102
25,104
25,105
25,108
25,109
26,111
25,113
25,114
25,117
25,118
25,119
25,124
25,126
25,129
25,130
26,132
25,134
25,135
40,129
40,126
40,124
48,122
48,121
48,132
48,133
49,136
48,135
41,133
40,135
40,138
41,139
40,145
40,147
48,147
48,148
48,149
48,150
40,150
41,154
40,156
40,159
41,160
40,166
40,168
40,171
41,175
40,177
40,180
41,181
40,187
40,189
40,192
34,194
36,203
38,195
48,192
48,190
48,185
48,184
48,183
48,180
48,179
49,177
48,175
48,174
55,166
57,166
63,174
64,178
63,180
63,183
64,184
63,190
63,192
57,194
51,196
53,203
54,203
63,203
72,203
74,197
74,193
80,191
80,188
74,190
71,185
71,178
71,177
71,175
71,174
71,172
71,170
71,165
71,164
71,163
71,160
71,159
72,157
71,155
71,154
64,150
63,149
63,147
71,147
71,142
71,141
71,140
64,137
64,131
71,137
71,136
72,134
71,132
71,131
71,124
64,120
63,121
71,119
71,118
71,117
71,114
71,113
72,111
71,109
71,108
71,105
71,103
71,98
71,97
71,96
71,93
71,92
72,90
71,88
71,87
71,84
71,82
71,77
71,76
71,75
71,72
71,71
72,69
71,67
71,66
71,61
71,59
74,54
71,49
71,48
71,47
71,46
71,44
71,42
71,41
71,40
77,44
78,44
79,45
80,44
81,51
80,55
84,54
86,49
86,48
84,46
94,45
97,43
97,48
94,51
97,52
97,55
94,54
94,56
94,60
97,59
101,60
102,60
103,60
104,60
107,59
107,55
104,56
103,56
102,56
101,56
102,54
103,54
107,52
103,51
102,51
100,44
101,44
102,44
103,44
104,44
107,43
110,47
110,46
110,42
110,41
110,32
110,31
117,38
117,37
117,35
117,33
117,31
120,28
120,26
120,32
120,34
123,35
124,35
126,35
125,36
124,38
125,38
126,38
127,38
126,42
125,42
120,41
120,43
117,42
117,44
110,57
110,58
110,61
110,62
110,66
110,67
109,70
109,71
107,63
104,64
103,64
102,64
101,64
100,64
97,63
94,65
97,68
97,75
101,73
102,73
103,73
109,78
109,79
104,81
107,84
103,85
97,84
94,79
94,78
94,77
94,75
94,73
94,71
94,70
94,69
86,66
87,70
86,72
86,75
87,76
86,82
86,84
86,87
87,91
86,93
86,96
87,97
86,103
86,105
86,108
87,112
86,114
86,117
87,118
80,126
86,124
94,120
94,118
94,116
94,114
94,111
94,110
94,109
94,108
94,104
94,102
94,100
94,98
94,95
94,91
94,89
97,96
100,98
101,98
102,99
103,98
102,95
103,95
107,96
107,100
107,104
103,105
103,102
102,103
101,102
100,102
97,107
97,115
97,117
101,118
102,118
103,118
103,116
102,116
102,114
103,114
109,109
109,110
109,111
107,115
107,117
109,122
109,127
110,131
109,133
109,136
110,137
97,120
94,121
94,122
94,127
94,128
95,130
94,132
94,133
94,136
94,137
94,138
94,143
94,145
94,147
94,148
94,149
94,151
94,153
94,154
97,155
101,156
102,154
100,151
101,151
102,152
103,151
109,143
109,145
109,148
109,149
107,153
107,155
103,154
102,156
103,156
104,159
97,158
94,158
94,156
86,147
87,141
86,140
86,137
87,135
86,131
80,149
86,154
87,158
86,160
86,163
87,164
86,170
86,172
86,175
86,178
87,185
94,187
94,194
89,203
90,203
108,203
110,194
109,187
117,195
120,192
120,190
120,187
126,189
130,187
130,190
130,192
132,195
143,195
143,193
149,192
153,195
153,193
153,190
149,189
143,190
140,187
140,185
140,179
140,178
140,175
140,168
133,180
130,185
126,186
126,184
125,184
120,185
117,184
117,180
109,178
109,181
109,182
107,185
103,184
102,184
97,185
94,184
94,182
94,181
94,178
94,177
97,175
97,171
97,168
97,165
94,165
94,163
97,162
101,163
102,163
103,166
103,169
103,163
107,162
117,157
117,159
117,160
117,162
117,163
117,164
126,170
132,164
132,163
132,160
132,159
130,157
130,154
133,153
133,152
140,150
140,146
140,144
148,148
149,148
155,146
155,144
163,141
163,143
163,146
163,147
164,149
163,151
163,152
163,155
163,156
163,157
163,162
163,164
163,170
155,168
149,181
155,179
156,175
163,172
166,175
166,178
166,180
163,182
163,183
166,188
163,191
163,192
166,196
172,194
178,191
176,188
173,185
178,183
176,180
176,178
176,175
172,177
172,174
172,166
178,164
178,162
179,156
178,155
178,152
179,150
178,146
178,143
178,141
186,137
186,138
186,139
186,144
186,146
186,149
186,150
187,152
186,154
186,155
186,158
186,159
186,160
186,165
186,167
189,171
189,175
186,178
186,179
189,182
186,185
186,192
189,197
