x,y
12,5
15,8
25,6
25,10
32,10
40,6
51,8
58,5
61,8
57,11
55,12
61,14
57,16
51,18
55,23
57,22
61,25
63,28
71,25
71,24
71,23
71,21
71,19
71,18
71,17
71,15
74,11
74,9
74,6
80,8
80,5
84,6
84,9
84,11
93,0
94,10
94,14
94,16
94,18
94,20
101,25
109,23
107,21
104,21
100,21
101,14
110,10
117,14
117,13
117,12
117,10
120,6
124,12
126,11
126,5
130,6
130,14
127,16
130,19
130,22
130,26
140,28
140,26
140,24
140,22
140,20
143,21
147,22
153,21
149,20
148,20
143,17
143,13
143,10
140,6
149,11
149,8
155,6
163,16
163,14
163,12
163,10
166,8
170,10
173,5
176,8
186,10
195,14
202,10
209,12
209,11
209,10
212,8
219,5
222,8
224,11
224,12
232,13
232,6
247,6
255,10
258,6
258,12
262,10
264,5
268,6
264,10
263,10
264,13
268,14
268,16
278,19
281,16
281,14
278,13
278,12
278,10
281,7
281,12
285,10
287,5
287,10
286,10
287,13
286,13
287,15
291,14
291,16
293,19
299,16
299,21
294,35
287,25
278,35
268,27
268,23
268,20
265,17
264,15
263,15
263,13
258,14
258,16
258,20
262,21
263,22
262,24
263,26
262,28
264,30
255,36
255,34
255,32
255,31
258,28
258,24
255,15
255,13
255,12
248,13
241,16
241,20
240,20
239,20
235,18
235,22
232,21
232,23
232,25
235,26
232,27
232,29
235,30
241,33
245,34
245,36
235,36
235,34
232,31
218,14
217,14
216,14
212,16
209,15
209,17
209,19
212,20
209,21
209,23
212,24
209,25
209,27
212,28
209,29
209,32
212,33
216,31
217,31
218,31
212,37
209,37
209,34
195,32
201,26
199,23
199,21
195,21
195,22
189,23
186,26
186,20
186,18
186,16
186,14
176,17
173,17
170,18
169,17
163,18
163,20
163,22
163,24
166,28
169,25
172,26
173,25
176,25
172,29
166,31
166,35
149,42
153,36
153,34
153,31
153,29
150,29
149,30
149,33
146,29
143,31
143,34
143,36
126,29
124,27
125,25
124,23
125,21
124,20
120,19
120,23
120,27
117,33
117,35
107,36
107,34
107,32
104,32
103,33
100,32
97,36
97,34
94,31
94,29
94,27
94,25
94,23
84,19
80,16
78,17
78,21
80,23
80,27
80,30
74,29
71,34
71,36
64,35
48,35
48,28
48,25
48,24
48,23
48,21
48,14
48,13
48,12
48,10
38,17
38,19
38,21
35,17
34,18
31,17
25,12
25,14
25,16
28,19
28,21
32,25
38,32
38,34
35,32
34,33
31,32
28,34
25,31
25,29
25,27
25,25
18,34
15,28
12,28
8,28
2,34
6,42
0,40
0,37
0,34
0,31
0,28
2,27
2,25
0,25
2,23
0,22
2,21
5,20
9,21
8,17
11,18
12,17
15,17
9,10
5,8
2,10
2,12
2,14
2,16
0,19
0,16
0,13
0,7
0,4
