x,y
5,13
10,10
9,10
5,8
2,0
8,0
12,5
15,8
11,10
12,10
15,13
18,11
18,13
18,15
18,17
15,19
18,19
18,21
18,23
15,25
18,25
18,27
18,29
25,29
25,28
25,26
25,24
25,23
25,22
28,20
28,16
25,15
25,11
25,9
34,5
33,15
34,15
35,17
38,16
38,20
40,22
41,23
48,22
48,27
56,25
57,25
64,22
57,12
48,6
63,6
71,11
74,6
80,5
84,6
80,10
79,10
78,10
74,12
71,13
71,16
74,16
74,20
77,21
74,24
74,29
78,32
79,33
74,35
78,35
79,37
84,34
84,29
84,24
81,17
84,20
107,27
84,38
80,41
78,39
74,39
71,45
71,47
61,47
61,45
57,44
51,47
51,45
41,36
41,35
41,34
41,32
38,34
38,30
34,29
35,31
34,31
33,31
32,31
33,29
34,26
33,26
32,26
28,28
28,30
28,34
28,40
34,38
34,41
28,43
28,47
18,45
18,44
15,43
18,42
18,41
18,39
15,37
18,37
18,35
18,33
18,31
15,31
5,43
0,39
5,37
5,31
0,27
0,26
5,25
5,19
0,13
