x,y
5,18
2,21
2,28
0,33
5,33
11,31
11,34
5,36
5,40
10,42
11,42
2,44
0,51
0,60
5,64
12,61
15,64
25,61
34,51
41,61
48,61
57,51
57,39
57,36
61,37
61,40
61,42
63,45
74,43
74,37
74,31
74,25
74,19
84,19
87,19
87,21
87,23
84,25
87,25
87,27
87,29
84,31
87,31
87,33
87,35
84,37
84,43
80,47
80,50
74,49
71,54
71,56
64,61
74,64
74,62
74,59
80,61
80,58
84,59
84,62
84,64
97,64
97,60
103,58
117,63
120,60
120,58
126,57
132,63
130,60
130,58
130,55
126,54
120,55
117,52
124,44
126,46
130,43
130,39
130,34
130,29
130,25
123,26
130,19
127,16
130,15
127,12
126,5
120,7
120,11
120,15
120,19
120,25
120,29
120,34
124,37
125,38
124,40
125,42
120,40
120,44
117,50
110,52
103,55
97,57
94,52
87,45
87,44
87,42
87,41
87,39
87,37
94,36
94,35
94,34
97,30
97,28
103,42
109,36
109,35
109,34
107,30
107,28
107,25
103,27
103,24
97,25
94,22
94,20
97,15
103,16
107,15
109,6
107,11
104,12
103,10
102,10
97,11
94,10
94,6
86,6
87,11
87,13
87,15
87,17
84,13
81,10
80,10
79,10
78,10
74,13
71,6
73,0
72,0
54,0
55,0
57,5
61,11
57,12
57,10
56,10
51,7
48,10
51,11
51,14
51,18
51,22
56,24
55,22
56,20
55,19
58,15
61,18
61,21
61,25
57,28
55,26
51,26
48,32
48,34
51,37
51,40
51,42
48,45
40,45
38,42
38,40
38,37
34,36
34,39
25,45
28,42
28,40
28,37
25,34
25,32
28,27
34,28
38,27
35,24
28,23
25,23
25,20
28,19
25,18
25,16
25,14
28,15
32,13
33,13
34,13
34,10
33,10
32,10
34,5
28,7
25,10
28,12
25,12
18,11
18,13
18,14
18,15
15,18
17,21
18,28
11,17
15,13
12,10
11,10
15,8
12,5
10,10
9,10
5,8
5,13
0,15
