x,y
10,15
11,15
11,5
28,8
28,14
28,18
31,15
35,5
38,8
38,14
38,18
48,19
57,22
57,25
64,19
57,9
61,0
72,0
74,6
74,9
74,11
71,14
84,11
84,9
80,8
80,5
84,6
90,0
97,7
97,11
102,13
103,13
102,15
103,15
107,14
107,11
104,8
103,5
107,0
108,0
120,8
117,11
117,13
120,17
127,5
130,8
132,11
132,13
126,15
126,18
120,20
120,24
117,28
117,29
117,31
120,32
117,33
117,35
117,36
117,38
117,44
120,41
120,39
120,37
120,35
125,38
126,40
132,44
130,41
130,39
130,37
126,38
126,36
125,36
124,33
125,33
126,33
125,31
126,31
130,32
132,28
140,29
140,28
140,25
140,24
140,23
140,21
140,19
140,16
140,14
140,11
143,8
149,10
150,5
153,8
155,11
153,15
155,17
156,18
153,21
149,23
155,23
156,24
155,28
155,29
149,31
149,34
143,33
143,36
143,40
140,43
140,44
140,47
140,49
143,48
147,46
148,46
149,46
155,44
155,43
155,52
163,51
163,50
163,48
166,45
163,42
163,41
163,40
163,38
163,36
163,33
163,31
163,28
163,25
163,24
163,23
163,21
163,19
163,16
163,14
163,11
166,7
172,10
172,5
185,0
186,0
187,0
188,0
186,6
178,11
176,15
178,17
179,18
186,22
186,28
186,29
186,32
189,33
193,31
194,31
195,31
201,28
202,22
195,12
201,6
209,0
210,0
216,0
227,15
227,29
227,43
227,45
227,52
227,57
227,71
199,66
196,63
196,67
199,70
199,76
199,80
199,85
199,90
199,94
195,97
186,103
186,101
189,95
193,95
194,93
193,91
189,91
194,89
193,88
189,85
189,80
192,77
189,76
189,70
189,66
189,62
189,58
189,55
186,51
195,56
195,53
201,51
199,49
201,46
199,42
199,40
199,37
195,36
195,39
195,48
194,48
189,49
186,48
186,46
186,45
189,42
189,40
189,37
186,34
178,28
179,24
178,23
176,21
172,23
172,27
176,32
178,34
179,35
179,41
178,40
176,38
172,40
172,44
176,45
178,48
178,51
178,54
179,58
178,60
178,63
179,64
178,70
178,72
172,74
169,77
176,80
176,85
176,90
176,94
172,97
163,103
156,101
163,101
166,95
170,95
171,93
166,91
170,91
171,89
170,88
166,85
166,80
166,76
163,72
163,70
163,65
163,64
163,63
163,60
163,59
164,57
163,55
163,54
156,56
155,58
155,61
156,62
155,68
155,70
150,72
149,76
149,79
153,75
153,77
153,80
153,82
155,85
149,91
140,101
130,92
140,85
143,82
143,80
143,77
143,75
140,70
140,68
140,63
140,62
140,61
140,58
140,57
141,55
140,53
140,52
133,51
130,56
132,58
132,59
132,62
127,65
130,68
130,74
130,78
130,83
130,88
126,95
117,101
117,99
120,93
124,93
125,91
120,89
124,89
125,87
124,86
120,83
120,78
123,75
120,74
120,68
126,55
125,55
120,56
117,51
117,55
117,57
117,58
117,59
117,62
117,63
107,78
107,83
107,88
107,92
103,95
94,101
94,99
97,93
101,93
102,91
97,89
101,89
102,87
101,86
97,83
97,78
100,75
103,71
109,69
110,63
109,62
109,59
110,57
109,53
109,50
109,47
107,42
107,40
103,39
102,39
102,41
103,41
103,43
102,43
101,43
97,45
97,42
97,40
97,38
97,35
101,36
102,36
102,34
103,34
103,36
107,35
110,31
109,24
107,21
103,20
101,15
97,14
97,17
97,21
94,24
94,18
94,16
94,13
86,14
80,20
87,30
94,31
94,34
94,36
94,38
94,39
94,41
94,43
94,45
94,46
94,47
94,49
94,50
94,53
94,54
95,56
94,58
94,59
94,62
94,63
94,64
94,69
87,70
86,69
86,63
86,59
87,46
87,47
84,48
80,49
81,45
80,45
79,45
78,45
78,42
79,42
80,42
87,40
87,39
81,37
80,37
79,37
78,37
77,37
80,34
79,34
78,34
74,36
71,30
71,34
71,36
71,38
71,42
74,41
74,44
71,44
71,45
74,48
71,53
71,55
71,59
71,60
71,63
71,64
71,68
71,69
71,70
71,73
74,73
74,75
77,76
79,72
80,72
84,73
84,75
84,79
84,84
84,89
84,93
79,92
78,94
80,96
71,102
71,100
74,94
74,90
78,90
79,88
78,87
74,84
74,79
63,77
63,75
63,72
63,70
64,64
63,63
63,60
64,58
63,54
63,51
61,49
61,47
61,45
64,44
64,43
63,39
63,35
58,42
57,42
56,42
55,42
56,46
57,46
57,48
56,48
51,49
51,47
51,45
48,46
48,48
48,50
48,51
48,54
48,55
49,57
48,59
48,60
48,63
48,64
48,65
48,70
48,72
48,75
48,77
51,81
57,79
58,82
61,85
57,86
51,85
48,90
48,92
51,95
51,98
51,100
57,97
57,94
61,95
61,98
61,100
63,103
61,109
48,103
38,103
35,100
28,103
15,100
10,99
9,101
5,101
5,97
9,97
9,94
10,95
15,96
32,93
34,93
41,77
40,76
40,74
41,64
41,58
40,48
41,47
48,42
48,40
48,39
48,36
48,35
51,31
51,27
51,24
38,23
34,27
28,23
16,25
11,24
10,24
17,32
17,33
15,36
17,38
18,42
17,44
17,47
18,48
25,48
25,49
17,54
17,56
17,59
25,59
25,60
25,62
26,63
18,63
17,65
17,68
18,69
25,74
25,75
25,76
25,77
17,75
17,77
11,79
10,79
2,82
0,77
2,77
2,75
2,70
2,69
2,68
2,65
0,64
2,64
3,62
2,60
2,59
0,58
2,56
2,54
2,49
2,48
2,47
0,45
2,44
2,43
3,41
2,39
0,39
2,38
11,35
10,35
5,36
2,35
2,33
2,32
2,31
2,25
0,20
2,16
2,11
2,9
