x,y
94,234
84,233
84,231
84,228
80,227
80,230
74,233
74,231
74,228
71,225
71,223
61,229
61,232
61,234
57,231
57,228
51,234
46,241
51,232
51,229
48,226
48,224
41,225
41,226
38,227
34,228
32,224
33,224
34,224
35,224
38,220
40,222
41,219
41,218
40,215
40,214
40,211
41,210
41,208
35,217
34,217
33,217
32,217
28,220
25,221
25,222
25,224
28,227
28,230
28,234
18,241
17,241
16,241
18,233
17,226
15,224
11,223
10,223
9,220
10,220
11,220
15,219
11,218
10,218
11,215
10,215
9,215
5,214
5,217
5,219
5,222
5,224
2,226
2,233
0,233
0,226
0,225
2,223
2,222
2,220
0,219
0,218
2,218
2,217
2,215
0,211
0,212
2,211
2,209
5,210
5,208
5,204
2,205
0,204
5,200
5,197
5,194
0,197
2,196
2,194
2,192
2,191
0,190
2,189
5,191
5,188
5,186
2,187
2,186
2,184
5,183
0,181
0,180
0,179
0,176
2,177
2,179
5,179
5,176
5,172
2,173
2,172
2,170
2,169
0,169
2,167
2,166
2,164
2,162
0,162
2,161
2,160
2,159
0,155
2,153
9,152
2,150
2,149
0,148
2,148
2,147
0,141
2,141
2,138
2,137
2,136
0,135
2,134
5,135
9,140
10,134
11,134
15,135
17,137
17,138
17,141
18,147
18,149
17,150
17,153
18,159
18,161
17,162
11,164
10,164
9,164
5,166
8,167
9,167
11,167
10,168
9,170
10,170
11,170
15,169
18,174
18,175
15,176
12,173
11,173
10,173
9,173
9,177
10,177
11,177
12,180
15,183
11,184
10,184
9,184
10,187
11,187
15,188
11,189
10,189
9,189
9,192
10,192
11,192
10,196
11,196
15,197
11,198
12,201
10,205
9,205
11,205
12,205
15,204
18,206
18,207
15,208
15,210
11,209
10,209
9,211
10,211
11,211
12,211
15,214
18,212
18,213
25,217
25,215
25,214
25,213
25,211
25,210
25,209
25,208
25,202
25,199
25,196
25,194
25,195
25,197
28,200
32,201
33,199
34,199
38,200
40,202
40,197
41,196
41,194
48,194
48,195
48,196
48,198
48,199
48,200
48,202
51,203
51,206
51,208
48,207
48,210
48,213
48,214
48,215
48,217
48,219
51,219
55,217
56,217
57,220
57,217
63,215
63,214
63,210
61,208
57,207
56,207
57,204
56,202
57,202
61,203
63,200
63,199
63,196
63,195
61,192
61,190
61,188
61,186
61,180
61,177
64,174
57,176
56,176
57,179
56,179
55,182
56,182
57,182
56,185
57,185
57,187
56,187
57,189
51,192
51,190
51,188
51,186
