x,y
32,28
33,28
34,31
33,31
32,33
33,34
34,33
38,35
38,32
48,33
48,34
48,35
48,37
48,38
48,39
48,40
48,42
51,43
56,42
57,42
63,40
61,43
63,45
63,46
63,47
63,49
63,53
63,54
58,56
51,59
48,63
48,61
48,54
48,53
48,52
48,49
48,47
48,46
48,45
48,44
41,47
41,48
40,53
40,57
40,58
40,61
41,64
41,65
41,67
41,68
41,69
51,67
51,70
51,74
55,74
56,76
55,78
51,78
51,84
57,82
61,77
61,73
61,70
56,72
55,71
57,69
57,65
63,63
63,61
61,59
71,56
71,57
71,58
71,59
71,63
72,64
71,69
78,74
80,74
87,70
86,69
87,66
86,65
86,58
87,57
86,56
87,55
97,68
97,70
97,73
97,75
97,80
101,84
97,84
94,87
94,88
94,89
97,92
97,94
97,96
103,91
103,93
107,96
107,94
107,92
109,89
109,88
109,87
107,83
102,82
101,80
102,78
101,77
103,72
107,70
107,73
107,75
107,79
120,74
120,71
120,69
120,67
126,65
126,68
126,73
126,75
130,74
130,71
130,69
132,63
130,61
130,55
127,52
130,49
130,47
126,48
125,46
123,45
124,45
126,45
130,43
130,41
126,40
125,38
124,37
123,37
126,37
130,39
132,35
132,34
132,31
126,26
124,24
124,21
126,21
125,21
120,17
117,18
117,19
117,21
117,23
120,23
117,24
117,26
117,27
117,28
117,30
117,31
117,33
117,34
117,35
117,37
117,39
120,41
120,43
117,45
117,47
120,49
109,51
103,49
103,54
107,55
107,57
120,55
120,61
117,62
117,63
107,65
107,62
107,60
103,59
103,64
103,66
103,69
97,65
97,62
97,60
97,57
97,55
94,51
80,35
74,34
63,39
63,38
63,35
63,34
74,26
78,19
81,22
84,18
84,14
78,15
79,17
74,19
74,15
74,11
64,16
57,19
57,22
51,21
48,16
48,9
51,6
57,5
62,0
61,6
63,9
74,7
78,12
79,13
80,5
80,0
81,8
84,11
97,17
97,13
97,10
94,6
99,0
103,8
103,11
109,6
117,6
120,10
120,13
126,0
126,8
126,11
132,19
140,19
140,17
140,15
140,14
140,13
140,12
140,10
132,6
140,6
144,0
147,10
149,10
148,10
143,12
147,17
148,17
149,17
149,20
143,19
143,21
143,23
140,27
140,28
143,33
149,34
150,30
153,23
153,21
155,15
155,14
155,6
162,0
163,6
163,10
166,13
166,11
171,10
172,12
172,15
166,16
166,18
163,23
166,24
170,22
171,22
172,22
176,18
176,16
176,13
176,11
172,10
176,0
178,6
186,6
186,11
189,11
189,13
186,13
186,16
186,18
186,20
186,22
189,21
189,17
193,15
194,15
195,15
199,13
199,11
194,10
195,10
201,6
212,8
212,10
209,14
209,16
209,18
209,20
212,19
212,15
216,13
217,13
218,13
218,9
219,5
222,8
222,10
241,0
246,9
246,10
