x,y
222,191
222,189
222,187
225,184
225,183
225,182
225,180
222,182
219,179
218,179
217,179
216,179
218,172
224,166
224,164
222,157
222,155
222,153
225,152
225,151
225,149
222,147
225,147
225,145
225,143
222,141
225,141
225,139
225,137
225,135
225,133
222,135
219,132
218,132
217,132
216,132
217,129
218,129
222,130
224,127
224,126
225,121
222,115
222,113
218,112
217,112
218,107
218,104
217,107
216,107
212,106
212,109
209,108
209,110
209,113
212,113
212,115
209,121
209,125
209,126
209,127
209,130
212,130
212,135
212,141
212,147
209,150
212,153
212,155
217,154
218,154
218,158
217,158
216,158
212,157
212,160
209,166
209,164
209,161
209,159
209,155
201,156
199,153
195,152
189,153
186,156
186,160
186,162
186,164
186,166
186,168
186,169
189,169
189,174
186,178
186,180
189,180
189,184
186,186
186,188
186,189
189,189
192,186
193,186
195,186
194,187
193,189
194,191
193,193
194,195
195,195
195,199
199,198
199,196
199,192
199,188
199,184
196,181
195,178
193,178
194,178
199,174
196,171
195,171
194,171
193,171
193,169
194,167
195,166
193,166
192,166
189,164
189,162
189,160
194,159
195,159
199,160
199,162
199,164
199,168
202,172
202,174
202,175
202,176
212,182
217,186
218,186
212,187
209,187
209,189
209,191
212,189
212,191
212,193
209,193
209,196
209,200
212,200
212,203
212,205
212,212
203,212
189,205
189,201
189,198
189,196
189,193
186,192
186,193
186,196
176,194
172,196
176,201
176,205
177,212
170,206
171,204
170,202
171,200
170,199
166,198
166,202
166,206
155,204
153,202
153,200
149,199
148,199
149,194
147,190
143,187
140,186
140,188
140,191
140,192
140,193
140,200
143,200
143,202
140,204
132,205
130,212
129,212
128,212
127,212
126,212
125,212
124,212
123,212
122,212
121,212
120,212
119,212
118,212
117,205
107,204
107,206
103,205
104,201
107,200
107,196
107,192
107,188
107,184
107,182
103,181
103,178
102,178
101,178
97,175
94,174
94,176
94,178
94,180
97,180
97,182
97,184
94,186
94,188
94,189
94,192
94,193
97,193
97,189
100,186
101,186
103,186
102,187
101,189
102,191
101,193
102,195
101,197
102,199
97,197
94,196
94,197
94,200
97,204
97,206
85,212
80,203
86,197
84,194
84,192
84,188
87,181
80,186
79,187
78,186
77,186
78,189
80,191
74,194
71,197
74,192
74,189
71,189
71,188
71,186
71,181
74,175
74,167
74,161
78,161
79,159
81,163
84,160
84,156
86,151
80,149
78,154
79,155
78,157
74,157
71,151
63,148
64,142
63,138
64,136
63,132
61,130
57,129
51,130
48,132
48,133
49,135
48,137
48,138
48,142
48,143
41,142
41,144
41,146
34,147
33,146
32,146
31,146
28,144
28,152
31,154
32,154
33,154
34,155
41,154
41,152
41,150
48,148
56,150
56,156
57,156
61,157
61,159
61,161
57,163
56,163
55,163
51,165
51,169
48,170
48,168
48,166
48,164
48,161
51,161
51,159
51,157
48,157
48,159
41,158
41,160
41,162
41,166
41,168
41,170
41,174
41,176
41,178
48,177
48,175
48,173
55,175
56,175
57,175
63,173
63,179
63,180
61,183
61,185
61,187
61,189
57,190
57,186
56,186
57,182
56,182
51,177
48,178
48,179
48,180
48,183
51,183
51,185
48,187
51,187
51,189
48,194
48,196
51,199
57,198
61,199
61,202
61,204
57,201
51,202
51,204
38,212
28,205
28,201
28,198
33,197
34,197
34,199
38,198
38,196
38,193
34,192
33,192
34,194
33,195
32,194
31,194
28,193
25,197
25,196
25,194
25,192
25,190
28,189
25,188
25,186
25,184
25,181
28,182
28,185
32,183
33,183
34,183
38,182
34,181
33,181
34,179
33,178
32,178
31,178
28,176
28,168
31,170
32,170
33,170
34,171
34,163
33,162
32,162
31,162
28,160
17,164
11,166
11,169
9,178
10,178
11,178
10,181
11,181
15,182
17,184
17,185
17,188
17,189
11,191
10,191
15,192
17,194
17,195
15,199
15,201
15,203
15,205
11,202
10,200
11,200
11,197
10,198
9,197
8,197
5,201
5,203
5,205
5,212
0,201
2,200
2,199
2,197
2,195
2,194
2,193
5,192
2,191
0,191
2,189
2,188
2,187
2,185
2,184
2,183
5,182
5,180
2,181
0,181
2,180
2,178
5,175
0,171
5,171
5,168
2,164
0,161
2,161
2,159
5,160
11,154
10,154
9,154
5,156
2,157
2,155
0,154
0,151
2,144
2,141
0,141
2,139
10,143
11,143
17,141
17,139
28,136
31,138
32,138
33,138
34,139
41,138
41,136
41,134
38,131
35,132
34,132
33,132
34,130
33,130
32,132
31,132
28,131
25,130
18,133
17,132
17,129
18,127
17,123
11,115
9,115
0,131
2,133
2,134
2,132
2,129
2,128
3,126
2,124
2,123
0,121
0,111
0,101
2,99
2,98
2,97
2,96
0,91
3,85
2,84
2,82
2,81
0,81
0,71
2,71
2,70
0,61
0,51
0,48
2,47
5,47
2,44
2,42
0,41
0,38
2,39
2,37
2,35
5,32
2,31
2,32
0,31
2,29
2,28
2,25
2,23
0,21
2,20
2,19
2,17
2,15
2,13
0,11
5,8
12,5
15,8
11,9
11,17
10,17
9,17
10,20
11,20
15,21
11,22
10,22
9,22
5,19
5,21
5,24
5,28
8,29
9,29
9,32
10,30
11,29
15,31
15,35
11,36
10,36
10,34
9,36
5,38
5,43
9,41
10,41
11,41
11,46
10,46
11,49
15,47
25,48
28,48
28,50
25,51
25,52
25,55
25,56
26,58
25,60
25,61
25,64
25,65
25,66
25,71
18,69
17,70
18,80
18,86
25,80
25,81
26,83
25,85
25,86
25,89
25,90
25,91
25,96
17,96
17,98
18,99
25,102
25,103
25,104
28,109
28,111
25,110
25,113
25,115
25,117
25,119
25,122
34,121
33,121
28,118
28,114
32,112
33,112
34,112
33,110
34,110
38,111
38,109
35,106
34,98
40,96
40,103
40,104
48,105
48,106
49,108
48,110
48,111
48,115
48,116
48,121
56,123
63,121
64,115
63,111
64,109
63,105
63,98
56,100
48,98
48,93
48,92
48,91
48,88
48,87
49,85
48,82
48,83
41,90
40,89
40,86
41,84
40,80
33,73
40,71
48,73
48,68
48,67
48,63
48,62
49,60
48,57
48,58
41,65
40,64
40,61
41,59
40,55
40,52
38,50
38,48
34,47
33,47
34,45
33,44
32,44
31,44
28,42
34,37
33,36
32,36
31,36
28,34
33,30
34,30
35,30
34,28
33,28
32,30
31,30
28,29
25,28
28,26
28,24
25,24
28,21
25,18
25,16
28,11
28,7
34,5
38,0
35,8
38,11
34,12
34,20
33,23
34,23
38,21
38,24
38,26
38,29
41,31
41,32
41,34
41,35
41,39
41,40
41,42
41,44
48,48
48,43
48,42
48,38
48,37
49,35
48,33
48,32
48,29
48,27
48,22
48,21
48,20
48,17
48,16
49,14
48,12
48,11
51,7
57,5
67,0
63,11
64,15
63,17
63,20
64,21
63,27
63,29
63,32
64,36
63,38
64,42
63,48
56,50
63,57
64,61
63,63
64,67
63,73
56,75
63,82
64,86
63,88
63,91
64,92
74,91
74,85
74,80
74,74
74,68
74,63
74,58
77,55
80,50
74,45
74,39
81,36
84,39
84,45
94,44
97,49
97,51
97,55
97,59
97,61
97,64
94,64
84,58
84,63
80,66
81,71
84,74
84,80
81,82
84,85
84,91
84,94
84,98
80,104
80,101
78,99
79,97
78,95
79,93
78,92
74,95
74,99
74,103
74,106
74,110
74,114
74,116
71,116
71,118
74,118
79,115
80,115
81,111
84,114
84,116
84,118
94,109
94,108
94,101
94,103
97,106
103,105
107,106
109,109
103,111
104,122
107,125
107,131
107,134
103,132
102,133
101,132
100,132
97,125
97,131
94,132
94,134
94,135
97,139
97,135
101,135
103,137
104,140
107,143
103,145
102,145
101,145
97,143
97,147
94,146
94,148
94,151
94,158
97,164
94,166
94,168
94,170
94,172
97,171
97,167
101,165
102,165
103,165
103,163
107,164
110,158
109,151
117,156
117,158
117,159
117,162
120,159
120,162
120,164
117,166
117,167
117,168
117,169
117,172
117,173
117,174
117,175
117,177
117,180
117,182
120,181
120,184
117,184
117,185
117,187
120,186
120,189
117,189
117,191
117,192
117,193
117,199
120,198
120,200
120,202
126,201
130,202
130,200
126,199
125,199
126,196
126,192
133,193
130,186
126,187
125,187
124,187
125,185
126,185
126,182
125,182
124,182
125,180
126,180
130,181
133,177
133,175
133,174
133,173
133,169
133,168
133,166
130,164
130,162
130,158
126,161
125,161
124,159
125,157
126,156
124,156
123,156
120,152
120,146
120,141
123,138
117,132
117,131
117,130
120,127
117,127
117,126
117,124
120,121
120,117
120,115
117,117
117,115
117,111
117,109
120,103
120,99
124,99
125,101
124,103
126,105
130,102
130,98
130,95
130,93
130,89
126,88
125,88
126,92
125,92
125,97
124,96
120,95
120,93
117,93
120,89
117,88
120,85
120,83
125,82
126,82
130,85
130,83
132,79
130,76
130,74
126,73
126,75
120,74
120,76
117,79
117,83
107,80
107,85
107,90
107,94
103,97
101,95
102,93
97,95
97,91
101,91
102,89
101,88
97,85
97,80
100,77
103,66
102,63
103,63
107,64
107,61
107,59
103,58
103,53
103,48
107,51
107,49
110,44
103,34
109,28
107,25
107,23
103,22
97,23
97,25
94,28
94,20
94,19
97,17
94,14
94,12
84,13
84,18
84,22
