x,y
15,57
15,55
17,52
25,55
25,58
28,55
28,53
34,51
33,54
34,54
38,55
40,58
40,49
40,47
34,43
33,43
32,43
32,41
33,39
32,38
31,38
33,36
34,36
34,38
38,40
38,37
40,34
40,32
40,28
40,26
40,23
40,21
40,18
40,13
51,13
51,16
51,18
55,21
57,21
56,21
51,23
48,22
48,24
48,26
48,28
51,27
51,31
48,31
48,33
48,35
48,37
51,35
54,36
55,36
56,36
57,36
58,36
57,33
56,33
55,33
56,30
57,30
61,31
64,38
64,39
57,41
56,41
55,41
51,40
51,43
48,42
48,44
48,46
48,47
48,48
48,49
48,51
48,55
48,56
48,57
48,60
51,60
51,62
51,65
51,67
51,69
48,71
48,67
41,65
40,70
38,73
38,75
34,77
33,77
34,72
25,65
25,69
25,70
28,73
28,75
25,80
25,95
25,97
25,100
25,102
28,106
25,110
25,115
25,118
25,121
25,123
25,124
17,116
12,118
10,123
11,123
15,121
15,124
15,128
11,127
10,127
5,128
5,124
5,121
0,120
0,123
2,123
0,127
2,128
2,134
0,134
0,137
0,141
0,145
2,149
2,157
0,155
0,151
0,148
2,142
2,140
5,138
11,136
17,134
17,140
17,142
18,149
17,157
11,159
10,159
9,159
5,161
2,160
2,162
0,162
0,165
2,165
2,166
2,168
0,169
2,170
2,171
2,173
2,175
2,176
0,176
2,178
0,179
2,181
2,183
2,185
0,186
0,190
2,191
2,190
2,189
2,187
5,187
5,182
5,179
5,177
5,175
5,172
5,170
5,167
5,165
9,168
10,168
11,168
10,166
11,166
15,167
15,172
11,171
10,171
9,173
10,173
11,173
10,176
11,176
10,178
11,178
15,177
15,179
11,180
10,180
9,180
11,185
10,185
9,185
11,190
11,194
10,194
5,195
2,194
0,193
2,197
0,197
0,200
2,200
5,201
5,203
0,204
2,206
5,207
2,209
2,211
0,211
0,214
2,213
5,214
2,216
2,217
2,218
0,218
0,221
2,222
5,222
5,226
0,228
5,230
2,234
0,235
2,241
0,242
2,246
0,249
2,251
5,255
5,259
3,264
2,264
4,264
5,264
15,259
12,256
11,253
17,251
17,246
17,241
17,234
15,230
12,227
11,224
10,221
11,221
15,222
18,218
11,217
10,213
11,213
15,214
17,211
17,209
15,207
11,206
10,206
11,202
10,200
11,200
15,203
15,201
17,197
15,195
18,191
25,189
25,191
25,193
28,192
34,195
25,199
25,201
25,205
25,206
25,207
25,209
25,211
25,212
25,214
25,215
25,217
28,213
28,211
32,209
33,209
34,209
33,212
34,212
38,213
40,215
40,217
38,220
34,219
33,219
32,221
33,221
34,221
34,224
33,224
32,224
28,226
28,223
28,220
25,219
25,221
25,223
25,225
25,227
25,229
25,231
25,232
28,231
32,229
33,229
34,229
32,232
33,232
34,232
35,232
38,235
41,234
41,233
40,237
40,238
39,241
34,240
33,240
28,235
25,236
25,237
25,238
25,241
25,248
25,250
28,254
28,258
32,264
33,264
34,264
35,264
38,258
35,255
34,252
40,248
40,250
48,258
48,256
51,251
57,252
61,251
58,248
57,243
56,243
55,243
51,245
48,246
48,244
48,241
48,240
48,239
48,238
51,238
48,236
48,235
48,233
48,231
48,230
48,229
51,228
51,226
48,227
48,226
48,224
48,222
51,223
51,220
48,220
48,217
48,216
48,215
48,214
48,212
48,210
48,209
48,208
41,206
40,205
48,206
48,204
48,203
48,202
51,200
51,196
57,194
57,191
51,193
48,189
51,186
51,183
51,181
51,179
51,177
51,175
51,173
48,173
48,175
48,177
48,179
48,181
48,183
40,182
40,184
34,186
33,186
32,186
28,188
25,187
25,184
25,182
25,179
25,177
28,178
32,176
33,176
34,176
34,171
33,171
32,171
28,173
25,174
25,172
25,169
25,167
25,166
25,165
25,164
25,162
25,160
25,157
25,155
28,152
25,152
25,151
25,149
25,147
25,146
25,145
25,142
25,141
25,140
28,137
28,135
28,132
25,129
28,130
33,129
34,129
34,131
34,134
38,130
38,132
38,135
38,137
40,140
41,141
40,145
41,146
38,151
34,149
33,150
32,149
31,149
32,152
34,154
33,154
32,154
28,156
28,161
32,159
33,159
34,159
40,165
40,166
40,167
40,169
48,166
48,168
48,170
51,170
51,168
51,166
51,164
51,157
51,151
51,145
51,139
51,134
51,132
51,130
57,129
61,127
61,130
61,132
61,134
57,136
56,136
55,136
58,136
61,139
64,137
64,139
64,141
64,143
61,145
64,145
64,147
64,149
64,151
61,151
64,153
64,155
64,156
64,159
64,158
61,157
58,161
56,165
57,165
61,164
61,166
61,168
61,170
57,172
56,172
61,173
61,175
61,177
61,179
61,181
61,183
57,185
61,186
63,189
71,193
71,190
74,191
74,188
74,184
74,181
80,182
80,176
79,175
78,175
77,175
74,173
74,165
77,167
78,167
80,168
79,167
80,160
79,159
78,159
77,159
74,157
80,152
79,151
78,151
77,151
74,149
77,145
78,145
79,145
80,145
81,145
79,141
78,143
74,143
71,143
71,142
74,139
71,139
71,138
71,136
71,133
71,132
71,131
74,127
71,126
71,125
71,124
61,125
61,123
61,121
61,119
61,117
56,116
57,116
61,114
61,112
61,110
61,108
61,106
61,104
57,103
56,103
51,108
51,106
51,104
48,104
48,106
48,108
48,110
48,112
48,114
51,110
51,112
51,114
51,117
51,119
51,121
51,123
51,125
51,127
48,127
48,125
48,123
