x,y
33,224
32,224
28,226
28,223
28,220
25,221
25,223
25,225
25,227
25,229
25,231
25,232
28,231
28,235
25,236
25,237
25,238
25,241
33,240
34,240
34,252
35,255
28,254
28,258
32,264
33,264
34,264
35,264
38,258
40,250
40,248
48,256
48,258
51,251
57,252
61,251
58,248
57,243
56,243
55,243
51,245
48,246
48,244
48,241
48,240
48,239
48,238
51,238
54,233
55,233
57,233
56,234
55,236
56,236
57,236
63,241
63,240
61,235
63,231
63,230
61,228
71,225
71,227
74,227
71,228
71,229
71,230
71,232
71,234
71,236
74,234
74,236
74,238
71,239
71,240
71,241
71,242
71,248
71,250
74,253
74,256
74,258
80,255
84,258
84,256
84,253
80,252
80,244
86,242
86,241
86,240
84,238
84,236
80,235
79,235
80,232
79,232
78,232
78,225
79,225
80,225
80,220
79,220
78,220
74,222
71,223
71,221
71,217
71,216
71,215
71,212
74,213
74,211
71,211
71,209
71,206
71,204
78,209
79,209
80,209
80,212
79,212
80,216
84,213
87,217
94,223
94,226
94,224
94,222
97,217
100,219
101,219
102,219
103,220
109,223
109,224
107,228
103,226
102,227
101,226
100,226
101,229
102,229
103,229
103,232
102,232
101,232
97,234
97,231
94,232
94,231
94,229
94,228
86,229
86,230
94,234
94,236
94,238
94,241
97,241
102,240
103,240
102,243
103,243
107,241
109,236
109,238
107,244
107,246
103,245
97,246
97,244
94,243
94,249
94,256
110,256
109,249
128,249
128,235
128,221
110,219
110,218
110,217
110,215
110,214
110,211
110,210
110,209
110,207
110,206
128,193
128,179
128,165
128,151
128,137
128,123
128,109
128,95
128,81
128,67
128,53
128,39
128,25
128,15
128,11
107,7
107,11
102,10
101,8
102,6
101,5
97,8
97,12
94,16
86,11
86,13
84,20
94,34
94,35
94,36
94,37
94,31
94,30
94,29
94,28
94,26
94,25
94,24
94,23
94,21
94,19
94,18
97,18
97,20
97,23
101,21
102,21
103,21
103,19
102,19
101,16
102,16
101,12
103,16
107,20
109,25
109,26
109,29
109,30
109,31
110,34
110,36
110,37
110,43
103,42
103,46
103,49
102,49
101,49
97,51
97,48
94,42
94,41
94,43
87,45
87,44
87,42
84,37
80,38
79,38
80,36
79,36
78,38
74,37
71,36
71,35
71,33
71,32
71,30
71,29
71,27
74,26
78,27
74,29
74,32
74,35
78,33
80,33
79,33
78,30
79,30
80,30
79,27
80,27
80,24
79,21
80,21
80,19
79,16
78,16
80,16
79,19
78,21
74,18
74,20
74,23
71,23
71,21
71,19
71,18
71,16
71,13
71,11
74,7
80,5
71,0
70,0
63,6
61,11
61,13
61,16
61,18
57,15
57,12
57,10
56,10
51,11
51,13
48,10
48,6
40,6
37,0
36,0
35,0
34,0
33,0
32,0
31,0
30,0
29,0
28,0
25,6
25,13
17,13
17,11
15,8
12,5
9,0
8,0
7,0
6,0
5,0
4,0
3,0
2,0
0,7
0,8
5,8
2,11
0,11
2,13
0,15
2,17
2,19
0,22
0,25
2,24
5,25
5,23
11,21
10,24
11,24
15,25
17,19
17,17
25,18
25,21
25,23
25,26
25,28
17,29
17,31
25,32
25,34
25,36
25,38
25,40
25,41
28,41
28,37
31,38
32,38
33,36
34,36
34,38
33,39
32,41
34,43
33,43
32,43
28,45
25,43
25,45
25,47
25,49
18,46
11,46
17,44
17,43
17,42
15,40
11,39
10,39
10,36
11,36
11,33
10,33
9,33
9,36
5,35
5,38
5,40
2,36
2,35
2,33
2,31
2,29
0,29
0,32
0,36
0,39
2,38
2,39
2,41
2,42
0,43
2,44
2,46
0,50
0,53
0,54
2,52
5,55
5,57
2,57
2,55
0,57
2,60
2,62
0,64
0,67
2,67
2,69
0,71
2,72
2,74
0,78
2,79
0,81
2,83
0,85
2,85
2,88
2,90
2,93
0,92
0,95
2,95
2,97
2,99
0,99
2,103
2,105
2,107
0,106
0,109
2,109
0,113
2,112
5,112
5,108
5,104
2,101
5,100
5,96
9,94
11,94
10,94
5,93
5,89
9,87
10,87
11,87
17,85
17,83
17,79
17,74
17,72
17,69
17,67
17,62
17,60
15,57
15,55
11,54
10,54
17,52
25,58
25,55
28,55
28,53
34,51
33,54
34,54
38,55
40,58
40,49
40,47
38,40
38,37
40,34
40,32
40,28
40,26
40,23
40,21
40,18
40,13
51,16
51,18
55,21
56,21
57,21
51,23
48,22
48,24
48,26
51,27
48,28
48,31
51,31
55,33
56,33
57,33
56,30
57,30
61,31
64,38
64,39
57,41
55,41
56,41
58,36
57,36
56,36
55,36
54,36
51,35
48,33
48,35
48,37
51,40
51,43
48,42
48,44
48,46
48,47
48,48
48,49
48,51
48,55
48,56
48,57
51,60
51,62
51,65
51,67
51,69
51,75
51,78
51,83
51,81
48,75
48,71
48,67
48,60
41,65
40,70
38,73
38,75
34,77
33,77
34,72
25,65
25,69
25,70
28,73
