x,y
97,24
94,23
94,25
97,30
94,34
97,35
97,40
100,42
101,42
103,43
102,42
100,36
101,36
102,36
103,36
104,36
103,34
102,34
101,27
102,27
103,27
104,27
107,30
110,29
110,28
110,31
110,32
107,35
110,37
110,38
110,40
110,41
110,42
122,45
110,45
110,46
110,48
110,49
110,50
110,54
110,56
110,57
110,58
107,56
104,53
103,53
102,53
101,53
103,51
102,50
101,50
100,50
97,48
97,56
103,60
110,70
110,73
103,75
110,85
110,88
107,91
108,97
103,90
97,91
95,88
94,87
94,86
86,89
87,85
86,84
86,78
87,77
95,73
94,72
94,71
87,69
86,70
71,70
71,71
71,77
71,78
71,84
71,85
71,89
61,91
61,89
61,86
57,88
51,91
51,89
51,86
51,84
57,85
57,82
57,77
55,73
57,68
56,68
55,68
51,70
48,69
48,71
48,74
48,75
48,76
41,74
41,71
34,61
28,58
25,59
25,57
25,55
28,54
25,53
15,50
15,52
15,54
15,56
17,58
17,59
17,60
18,62
11,62
17,66
17,67
17,68
17,69
17,72
17,73
17,74
11,76
11,83
11,86
17,81
25,79
25,78
25,76
25,72
25,73
26,74
31,76
32,76
33,77
34,76
38,78
38,82
34,85
32,83
33,81
32,79
28,79
25,82
25,83
28,83
28,87
28,91
13,97
5,92
5,88
5,85
2,81
2,78
2,76
2,74
2,72
2,71
2,69
2,68
2,67
2,66
0,66
2,62
2,60
2,58
2,57
2,54
2,50
0,46
0,45
0,44
0,41
0,40
0,39
0,38
2,38
5,38
2,40
2,41
2,43
2,45
2,47
5,50
5,52
5,54
5,56
10,53
11,53
11,49
10,49
11,45
17,43
17,42
17,41
15,38
11,37
10,37
11,32
11,29
10,32
9,32
5,34
2,35
2,33
2,29
2,27
2,25
2,24
2,22
5,21
2,20
2,15
2,13
5,8
12,5
15,8
11,9
9,19
10,19
11,19
17,25
17,26
17,27
18,29
25,27
25,29
25,32
28,32
28,34
25,36
25,38
25,40
25,42
25,44
25,46
25,49
25,51
28,50
33,48
34,48
32,48
28,45
28,41
28,37
32,35
33,35
34,35
33,31
34,31
38,32
38,34
40,29
40,27
38,23
38,21
38,18
34,17
34,20
28,23
28,21
28,18
25,15
25,13
28,8
34,9
35,5
38,8
48,6
48,13
51,18
48,19
48,21
48,23
48,25
48,27
48,29
48,31
48,33
51,38
48,43
48,44
48,45
48,51
51,52
48,53
48,54
48,56
48,58
51,64
55,61
56,61
57,58
57,61
58,61
61,64
64,65
64,66
64,63
64,62
64,58
63,56
63,55
63,54
61,52
57,51
56,51
57,46
55,42
61,38
64,40
64,39
64,37
64,36
61,34
58,35
57,35
55,35
56,35
57,34
61,26
58,26
57,27
54,26
55,19
57,16
64,13
63,6
60,0
61,0
62,0
71,6
71,10
74,11
71,12
71,13
71,15
71,17
74,21
74,25
71,25
71,27
71,29
71,31
71,33
71,36
71,38
71,40
71,42
71,47
74,48
74,46
79,47
80,47
80,49
84,48
84,43
81,43
80,44
77,43
78,36
80,34
84,34
80,27
79,24
80,24
84,25
84,21
80,20
80,17
79,10
80,10
86,6
84,11
86,13
86,14
86,15
87,17
94,13
94,11
97,8
97,6
103,5
108,0
107,6
107,8
103,10
102,10
101,10
97,12
97,18
101,15
102,15
103,15
104,15
107,18
110,17
110,16
110,19
110,20
103,22
102,22
101,22
