x,y
102,28
100,28
101,28
103,35
102,34
101,34
100,34
97,32
97,24
94,19
97,20
101,21
102,21
103,21
102,19
103,19
104,21
107,20
107,24
110,25
110,23
110,22
110,17
110,16
110,14
110,13
107,15
104,12
103,12
102,12
101,12
97,15
97,11
103,5
108,0
97,7
86,6
80,10
87,20
87,23
80,25
72,23
71,22
71,21
57,27
56,27
55,27
51,29
51,33
51,37
48,41
48,47
48,45
48,43
48,40
48,38
48,36
48,34
48,32
48,30
48,28
48,25
51,24
51,20
48,23
48,21
48,19
48,17
48,15
51,16
51,13
55,14
56,14
57,14
61,13
61,11
61,8
71,6
61,0
58,5
57,10
56,10
51,8
51,11
48,11
41,10
40,17
40,18
41,21
40,19
34,13
34,21
38,25
34,26
34,24
33,24
28,25
25,24
25,21
25,19
25,17
25,16
28,15
25,10
15,8
12,5
11,10
5,8
0,8
0,15
0,22
0,29
2,31
2,32
2,38
2,39
0,42
0,43
0,44
0,45
2,45
2,46
0,46
0,47
0,48
2,49
0,49
0,50
0,51
2,51
2,53
2,55
9,49
12,56
11,57
10,57
9,57
8,56
5,59
2,58
2,60
2,62
2,63
2,65
2,67
2,70
2,72
2,74
2,76
0,81
5,84
5,80
8,77
11,78
12,77
15,77
9,70
11,67
18,67
17,65
17,64
17,63
15,56
18,46
17,45
17,39
18,38
17,31
18,30
25,37
25,38
26,39
25,42
25,44
28,45
28,49
28,55
25,54
25,56
25,58
28,59
28,63
32,60
33,60
35,60
34,60
33,58
34,58
34,53
32,53
33,53
38,49
35,46
34,46
33,46
32,46
34,44
33,44
28,42
33,41
34,41
41,36
41,39
38,42
38,45
41,47
41,48
41,50
41,51
48,50
48,51
48,52
48,53
48,56
51,56
51,58
56,55
57,55
57,64
57,68
56,68
51,69
51,71
48,72
48,73
48,69
48,66
48,64
48,62
48,59
48,60
41,62
41,61
38,59
38,63
41,64
41,65
40,68
41,69
35,72
34,72
33,72
32,72
25,68
25,69
25,70
28,75
25,83
25,89
28,80
34,79
38,80
40,83
41,77
41,76
38,75
41,74
41,73
48,75
48,77
51,82
60,89
61,89
62,89
57,80
57,77
61,71
61,69
63,73
63,74
63,75
64,77
71,74
71,73
71,72
74,68
74,65
78,65
74,61
71,60
71,61
71,65
71,64
63,62
63,61
63,60
61,58
61,56
63,53
63,52
63,51
63,50
57,45
63,43
63,42
63,41
71,46
71,48
74,47
74,52
71,51
71,53
71,56
71,58
74,56
77,58
78,58
79,55
80,55
78,50
79,50
80,50
84,56
84,60
80,58
79,59
78,61
79,63
84,64
84,68
80,67
78,71
80,75
74,83
81,80
84,83
94,78
97,83
108,89
107,83
104,80
107,74
103,75
103,74
102,75
101,75
97,77
94,76
94,73
94,71
94,69
94,67
94,65
94,63
94,61
94,59
94,57
94,55
94,50
94,48
94,46
94,45
84,43
80,45
79,45
78,45
74,43
74,41
71,37
71,36
72,38
80,40
84,41
87,38
87,35
97,40
100,42
101,42
102,42
103,43
109,46
109,47
109,48
110,50
103,50
103,59
103,66
103,67
107,66
109,57
109,55
122,45
110,42
110,41
110,40
110,38
110,37
110,34
110,33
110,32
110,30
110,29
110,26
104,28
103,28
