x,y
51,79
48,78
48,76
48,74
48,71
48,69
51,69
51,71
51,75
55,73
56,73
57,73
61,71
61,69
57,68
56,68
57,64
63,62
63,61
63,60
61,58
57,58
57,51
63,47
63,46
63,45
63,44
61,42
61,40
61,38
61,36
57,39
56,39
56,35
57,35
57,32
51,23
48,27
48,28
48,30
48,32
48,36
51,36
51,38
51,40
51,42
48,40
48,44
48,45
48,46
48,47
48,51
48,53
48,55
48,57
48,59
48,60
48,62
48,64
48,66
41,69
40,70
41,77
40,78
40,84
41,85
38,89
38,91
34,88
25,97
28,91
28,89
25,85
25,84
25,78
25,77
25,71
25,70
18,67
17,65
17,64
17,63
15,60
15,58
11,58
11,59
10,59
11,67
11,70
10,70
9,70
9,73
10,73
11,73
11,76
12,79
15,82
15,85
15,89
9,83
10,84
9,86
10,88
9,90
5,90
5,86
5,82
0,82
5,78
5,75
5,72
2,73
2,75
0,76
2,72
2,70
0,69
2,67
2,65
0,63
2,63
2,62
2,60
5,60
2,57
0,57
2,55
2,53
0,51
2,51
2,49
2,47
11,51
17,49
17,47
15,45
12,45
8,45
2,44
0,45
0,44
0,43
2,42
2,40
2,38
2,36
2,34
5,35
9,38
11,33
10,33
9,33
5,29
0,28
0,27
0,26
0,25
2,24
5,25
9,26
10,26
10,24
11,24
11,26
12,26
15,25
18,27
18,28
15,29
18,30
18,31
25,32
25,33
25,35
25,37
25,40
25,41
25,43
25,45
25,47
34,49
34,45
40,43
40,42
40,41
41,37
40,35
40,34
40,33
38,31
35,31
34,37
31,31
25,30
25,28
25,26
25,24
25,22
25,20
18,22
18,21
15,20
18,19
18,18
15,15
11,14
10,14
11,17
12,17
10,17
9,17
5,20
5,15
2,15
0,12
2,11
2,9
11,5
25,6
25,13
25,17
28,18
28,21
32,24
34,19
33,19
32,19
33,17
34,17
38,18
41,13
40,6
48,14
48,13
48,12
51,9
51,7
57,5
60,0
61,0
62,0
61,9
57,8
55,11
57,15
55,20
56,20
57,20
58,20
61,23
64,21
64,22
64,24
64,25
63,28
63,29
63,30
64,32
71,30
71,31
72,32
80,34
87,32
87,29
94,23
94,21
94,19
94,18
87,13
84,18
80,19
80,17
79,17
74,18
71,17
71,13
71,6
86,6
94,9
94,11
97,14
103,13
103,5
108,0
107,14
109,19
109,20
109,21
110,23
103,23
104,26
107,29
103,30
97,29
94,41
94,42
95,43
94,45
94,47
94,48
97,48
94,51
94,52
94,54
94,57
94,59
94,58
97,55
97,52
101,52
102,50
101,48
100,45
101,45
102,46
103,45
110,40
110,43
107,47
107,51
107,55
103,54
102,54
101,56
103,60
101,65
102,65
103,65
101,70
102,70
103,70
104,70
107,73
110,71
110,72
110,74
110,75
109,81
107,78
103,77
103,83
103,86
108,97
97,92
97,88
97,85
94,81
97,78
97,73
97,67
94,66
94,68
87,70
87,69
87,68
87,66
87,65
87,62
87,61
87,60
87,58
87,57
87,54
87,53
84,52
87,51
87,50
87,47
87,44
81,49
80,49
79,49
78,49
71,45
71,46
72,47
74,52
77,56
78,56
79,56
80,56
81,56
79,62
80,63
78,62
77,62
74,60
74,68
77,70
78,70
79,70
80,71
80,73
79,73
78,73
74,75
71,74
71,76
71,78
71,80
74,79
74,83
71,82
71,84
71,87
74,87
74,89
80,88
84,89
84,91
74,91
62,97
61,97
60,97
61,92
58,89
57,86
51,92
51,88
51,83
48,84
48,82
48,80
