x,y
94,181
94,182
94,184
97,185
102,184
103,184
109,178
109,181
109,182
107,185
109,187
110,194
108,203
117,195
120,192
120,190
120,187
120,185
117,184
117,180
126,170
117,164
117,163
117,162
117,160
117,159
117,157
117,155
120,154
123,155
124,155
125,156
126,155
130,157
132,159
132,160
132,163
132,164
140,168
140,175
140,178
140,179
133,180
130,185
130,187
126,184
125,184
126,186
126,189
130,190
130,192
132,195
140,187
140,185
143,190
143,193
143,195
149,192
153,195
153,193
153,190
149,189
149,181
155,179
156,175
155,168
163,162
163,164
163,170
163,172
166,175
166,178
166,180
163,182
163,183
166,188
163,191
163,192
166,196
172,194
178,191
176,188
173,185
178,183
186,185
186,192
189,197
195,195
202,192
201,185
199,182
201,179
195,181
189,182
186,179
186,178
189,175
189,171
195,169
201,167
201,165
202,159
201,158
201,155
202,153
201,149
201,146
201,144
202,138
201,137
201,134
202,132
201,128
201,125
201,123
209,131
209,130
212,127
212,123
218,121
219,124
222,127
224,131
222,134
219,135
218,135
218,133
217,133
217,135
216,135
215,135
212,134
209,133
209,136
212,139
209,140
209,144
212,143
216,144
217,144
218,144
219,144
217,140
216,140
218,140
219,140
222,143
222,147
219,148
218,148
217,148
216,148
215,148
212,147
209,149
212,152
209,158
209,163
209,165
209,167
209,169
209,171
209,173
209,175
209,177
209,179
209,181
209,182
209,183
209,185
209,187
209,188
209,190
209,191
209,192
209,195
216,203
217,203
218,203
233,203
234,203
232,203
224,195
222,192
216,190
218,189
222,187
222,183
218,185
217,186
216,185
215,185
216,181
215,178
218,180
219,178
222,178
222,170
219,170
216,171
215,170
216,163
225,158
225,151
225,150
225,146
225,145
225,142
225,141
225,138
225,137
232,138
232,137
232,136
232,133
232,132
233,130
232,128
232,127
235,125
232,122
235,120
238,121
239,121
240,121
241,121
242,121
245,120
242,117
245,116
248,114
248,115
248,118
248,119
248,123
248,124
247,127
248,131
247,133
247,136
248,137
256,137
255,136
255,134
255,133
255,123
255,122
271,121
270,122
271,132
271,138
270,148
271,151
270,150
255,151
255,150
255,149
255,148
247,143
247,145
245,148
241,147
240,147
239,149
240,149
241,149
241,152
245,154
241,155
241,158
240,155
239,155
240,153
239,152
238,152
235,151
235,148
232,145
232,143
232,147
232,149
232,151
232,152
232,154
232,155
232,157
235,157
235,160
235,164
232,167
232,168
232,170
232,171
235,175
232,178
232,180
232,182
232,184
232,186
232,188
232,190
232,192
232,195
238,193
242,193
247,195
245,193
245,185
242,185
239,186
238,185
239,178
241,173
247,171
247,167
255,174
255,176
255,177
255,178
255,180
255,182
255,184
255,186
261,187
258,190
258,193
258,197
268,203
264,191
264,188
265,187
268,187
268,178
262,180
262,176
264,175
262,167
264,167
278,167
