x,y
291,18
299,20
299,31
293,31
291,29
291,26
288,23
287,28
286,28
281,29
278,31
278,28
281,26
281,22
278,18
278,17
278,16
278,14
268,14
268,17
264,16
262,22
264,21
268,24
264,26
255,30
255,32
245,34
242,31
235,34
235,30
241,28
241,26
240,25
239,25
238,25
235,23
238,19
239,19
240,19
241,19
242,19
241,17
240,17
235,18
232,17
232,15
232,14
232,13
232,12
222,11
222,13
222,15
222,17
222,19
218,20
218,23
218,26
212,32
212,28
212,25
212,22
209,22
209,20
209,18
202,18
202,19
201,22
201,23
201,24
201,25
199,28
199,31
199,33
195,30
195,27
189,33
189,31
189,28
186,25
186,24
186,23
186,22
176,23
176,21
176,17
176,14
172,16
172,20
171,20
171,22
172,22
172,24
172,27
166,26
166,23
166,21
163,20
163,22
163,31
163,33
149,29
149,22
148,22
147,22
148,20
149,20
153,21
153,18
149,15
147,16
140,14
140,16
140,17
140,18
140,20
140,22
143,21
143,24
140,24
133,22
133,21
133,20
133,18
133,17
130,14
127,16
126,16
125,16
124,16
123,16
120,20
123,22
124,22
125,22
126,23
126,25
126,28
120,27
120,30
120,34
107,31
103,30
97,31
94,26
94,28
89,39
87,30
86,23
84,20
80,17
78,18
71,12
71,13
71,14
71,16
71,18
71,19
71,20
71,23
71,30
61,32
61,30
61,27
61,25
61,20
58,22
57,26
57,29
51,25
51,27
51,30
51,32
41,31
38,24
34,21
32,22
28,18
25,20
25,22
25,23
25,24
25,31
15,32
15,28
15,24
11,21
9,22
9,26
10,27
9,29
10,31
9,33
5,33
5,29
2,24
2,23
2,22
2,20
2,18
2,17
2,16
2,14
2,11
2,9
11,5
9,16
11,15
15,18
25,14
25,13
25,12
25,10
28,8
32,12
34,16
38,14
34,11
35,5
38,8
48,6
48,10
48,12
48,13
48,14
48,16
48,18
48,19
48,20
55,18
57,17
55,12
57,11
61,14
63,6
71,10
74,7
80,5
78,12
80,11
84,14
94,16
94,18
94,20
97,21
97,19
97,17
94,14
94,13
94,12
94,10
97,8
97,6
103,5
107,6
107,8
103,11
101,12
102,16
103,16
103,18
102,18
102,20
103,20
103,22
107,21
107,19
107,17
107,14
117,14
117,13
117,12
117,10
120,8
124,12
126,11
127,5
130,8
140,10
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
156,10
163,6
163,10
163,12
163,13
163,14
166,17
170,12
172,11
178,6
186,6
186,10
186,12
186,13
186,14
186,17
189,20
192,16
193,16
194,16
195,16
196,16
193,12
195,11
199,14
201,6
209,10
212,8
212,11
212,13
209,12
209,14
209,16
212,15
212,17
212,19
216,20
217,20
217,18
218,18
218,16
217,16
218,14
217,14
218,12
217,12
217,10
218,10
219,5
222,8
232,9
235,6
241,5
245,6
247,9
247,12
247,13
247,14
247,15
245,18
248,20
248,21
248,23
248,24
248,25
255,24
255,23
255,22
255,20
258,17
255,14
255,13
255,12
255,10
255,6
262,12
264,11
270,6
281,8
281,12
285,12
286,10
285,8
286,6
285,5
291,7
291,11
287,15
285,16
287,20
