x,y
217,18
218,18
217,16
218,16
222,13
222,15
222,17
222,19
232,17
235,18
235,23
238,19
239,19
240,17
241,17
240,19
241,19
242,19
245,18
248,20
248,21
248,23
248,24
248,25
241,28
241,26
240,25
239,25
238,25
235,30
235,34
242,31
245,34
255,32
255,30
255,24
255,23
255,22
255,20
258,17
264,21
262,22
264,26
268,24
278,17
278,16
278,18
281,22
281,26
278,28
278,31
281,29
286,28
287,28
288,23
291,26
291,29
293,31
299,31
299,20
291,18
287,20
285,16
287,15
291,11
291,7
285,5
286,6
285,8
286,10
285,12
281,12
278,14
281,8
270,6
268,14
268,17
264,16
264,11
262,12
255,6
255,10
255,12
255,13
255,14
247,15
247,14
247,13
247,12
247,9
245,6
241,5
235,6
232,9
232,12
232,13
232,14
232,15
222,11
222,8
219,5
218,10
217,10
218,12
217,12
218,14
217,14
212,15
212,13
212,11
212,8
209,10
209,12
209,14
201,6
186,6
186,10
186,12
186,13
186,14
186,17
176,17
176,14
178,6
172,11
170,12
172,16
166,17
163,14
163,13
163,12
163,10
163,6
156,10
154,0
153,0
152,0
151,0
150,0
149,0
148,0
147,0
146,0
145,0
140,10
140,14
140,16
140,17
140,18
133,17
130,14
130,8
127,5
120,8
117,10
117,12
117,13
107,8
107,6
103,5
103,11
107,14
107,17
107,19
107,21
103,22
103,20
102,20
103,18
102,18
103,16
102,16
101,12
97,17
97,19
97,21
94,20
94,18
94,16
94,14
94,13
94,12
94,10
97,8
97,6
80,5
80,11
78,12
74,7
63,6
57,11
55,12
48,14
48,13
48,12
48,10
48,6
38,8
35,5
34,11
38,14
34,16
32,12
28,8
25,10
25,12
25,13
25,14
15,18
9,16
11,15
11,5
2,9
2,11
2,14
2,16
2,17
2,18
2,20
2,22
2,23
2,24
9,22
11,21
9,26
10,27
9,29
5,29
5,33
9,33
10,31
15,32
15,28
15,24
25,31
25,24
25,23
25,22
25,20
28,18
32,22
34,21
38,24
41,31
51,32
51,30
51,27
51,25
48,20
48,19
48,18
48,16
55,18
57,17
58,22
57,26
57,29
61,32
61,30
61,27
61,25
61,20
61,14
71,10
71,12
71,13
71,14
71,16
71,18
71,19
71,20
71,23
71,30
78,18
80,17
84,14
84,20
86,23
94,26
94,28
87,30
89,39
97,31
103,30
107,31
120,34
120,30
120,27
126,28
126,25
126,23
125,22
124,22
123,22
120,20
117,14
123,16
124,16
125,16
126,16
124,12
126,11
127,16
133,18
133,20
133,21
133,22
140,20
140,22
140,24
143,24
143,21
147,16
149,15
149,20
148,20
147,22
149,29
148,22
149,22
153,21
153,18
163,20
163,22
166,21
166,23
166,26
163,31
163,33
172,27
172,24
171,22
171,20
172,20
172,22
176,21
176,23
186,25
186,24
186,23
186,22
189,20
192,16
193,16
194,16
195,16
196,16
193,12
195,11
199,14
202,18
202,19
201,22
201,23
195,27
189,28
189,31
189,33
195,30
199,33
199,31
199,28
201,25
201,24
209,20
209,18
209,16
212,17
212,19
209,22
212,22
212,25
212,28
212,32
218,26
218,23
218,20
217,20
216,20
