x,y
173,5
176,8
169,17
170,18
173,17
176,17
186,16
186,14
186,10
195,14
202,10
209,10
212,8
209,11
209,12
209,15
212,16
209,17
209,19
209,21
212,20
216,14
217,14
218,14
219,5
222,8
224,12
224,11
232,13
232,6
247,6
248,13
255,10
255,12
255,13
255,15
258,16
258,14
258,12
258,6
264,5
268,6
264,10
263,10
262,10
263,13
264,13
263,15
264,15
268,14
268,16
265,17
268,20
278,19
281,16
281,14
278,13
278,12
278,10
281,12
281,7
287,5
285,10
286,10
287,10
286,13
287,13
287,15
291,14
291,16
293,19
299,16
299,21
294,35
287,25
278,35
268,27
268,23
262,21
258,20
263,22
262,24
263,26
264,30
262,28
258,24
258,28
255,31
255,32
255,34
255,36
245,36
245,34
241,33
235,36
235,34
232,31
232,29
235,30
235,26
235,22
239,20
240,20
241,20
241,16
235,18
232,21
232,23
232,25
232,27
218,31
217,31
216,31
212,33
212,37
209,37
209,34
209,32
209,29
209,27
212,28
212,24
209,23
209,25
201,26
195,32
199,23
199,21
195,22
195,21
186,18
186,20
189,23
186,26
176,25
173,25
172,26
172,29
166,35
166,31
166,28
169,25
163,24
163,22
153,21
149,20
148,20
147,22
146,29
149,30
150,29
153,29
153,31
153,34
153,36
149,33
149,42
143,36
143,34
143,31
140,28
140,26
130,26
126,29
124,27
125,25
124,23
125,21
124,20
117,14
120,19
120,23
120,27
117,33
117,35
107,36
107,34
107,32
104,32
103,33
100,32
97,36
97,34
94,31
94,29
94,27
94,25
94,23
94,20
94,18
94,16
94,14
84,19
80,16
78,17
78,21
80,23
80,27
80,30
74,29
71,34
71,36
64,35
48,35
38,34
38,32
35,32
34,33
31,32
28,34
25,31
25,29
25,27
25,25
18,34
15,28
12,28
8,28
2,34
6,42
0,40
0,37
0,34
0,31
0,28
2,27
2,25
0,25
0,22
2,23
5,20
2,21
0,19
0,16
2,16
2,14
0,13
2,12
2,10
0,7
0,4
5,8
9,10
8,17
9,21
11,18
12,17
15,17
15,8
12,5
25,6
32,10
25,10
25,12
25,14
25,16
31,17
28,19
28,21
32,25
34,18
35,17
38,17
38,19
38,21
48,28
48,25
48,24
48,23
48,21
51,18
48,14
48,13
48,12
48,10
40,6
51,8
58,5
61,8
57,11
55,12
61,14
57,16
55,23
57,22
61,25
63,28
71,25
71,24
71,23
71,21
71,19
71,18
71,17
71,15
74,11
74,9
74,6
80,5
80,8
84,11
84,9
84,6
93,0
94,10
101,14
104,21
100,21
101,25
109,23
107,21
110,10
117,12
117,13
117,10
120,6
126,5
130,6
126,11
124,12
130,14
127,16
130,19
130,22
140,24
140,22
140,20
143,21
143,17
143,13
143,10
140,6
149,11
149,8
155,6
163,10
163,14
163,20
163,18
163,16
163,12
166,8
170,10
