x,y
103,36
102,36
101,36
101,41
103,45
101,50
103,54
103,59
102,59
94,60
94,53
94,52
94,51
94,44
94,43
94,42
94,39
97,38
94,37
94,33
94,32
94,31
94,30
94,26
94,24
97,25
101,23
102,23
103,23
103,18
101,14
103,5
97,7
97,11
94,15
94,16
94,17
87,21
87,20
87,18
87,14
86,6
80,8
80,13
74,10
71,6
71,12
71,13
71,14
71,18
71,19
71,20
71,21
71,25
71,29
74,30
74,27
74,25
79,24
80,24
84,25
84,27
79,29
80,29
81,31
84,30
84,34
85,37
80,36
79,36
74,34
71,37
79,44
80,44
85,45
85,52
80,51
79,51
79,60
71,61
71,63
71,64
71,67
71,70
71,71
71,74
71,80
71,81
71,83
71,86
64,92
63,88
61,83
64,80
61,76
63,71
63,65
61,62
61,60
61,58
57,61
56,59
57,59
57,57
56,57
57,54
56,52
57,52
61,53
71,52
71,45
62,46
57,45
56,45
57,40
55,36
51,35
48,38
48,39
48,37
48,35
48,32
51,31
48,30
40,29
38,28
48,25
48,22
48,20
51,21
51,25
51,27
55,29
56,29
57,29
61,27
61,25
57,24
56,24
57,19
56,19
55,19
57,14
55,10
57,5
51,7
48,11
48,12
48,13
40,18
38,15
38,11
38,9
38,6
34,8
34,5
28,6
28,9
28,11
32,14
25,15
25,16
25,18
25,21
25,25
25,29
25,32
25,39
25,41
25,44
18,38
17,32
15,30
17,20
15,11
15,8
12,5
9,10
5,8
0,3
0,9
2,11
2,12
0,15
2,18
3,19
2,20
0,21
2,22
0,27
2,29
3,30
2,32
0,33
2,35
0,39
0,45
2,46
3,47
2,49
0,51
2,52
0,56
0,57
0,63
2,62
3,63
2,65
5,66
0,67
0,69
2,68
2,69
2,71
2,74
0,75
2,77
2,78
2,80
0,81
3,81
2,83
2,85
0,87
2,88
0,93
2,94
2,97
0,99
2,104
0,105
2,106
5,107
2,109
0,111
5,113
11,111
17,109
15,107
15,105
11,106
10,106
9,103
18,98
17,94
15,89
18,86
15,82
17,77
17,71
15,68
11,67
10,65
11,65
15,66
15,64
18,55
17,49
15,47
25,56
26,57
25,58
25,62
25,64
28,63
28,65
25,67
25,69
25,70
25,73
25,76
25,77
25,80
25,86
25,87
25,89
25,92
25,101
25,104
25,106
28,105
28,107
28,111
31,118
32,118
33,118
34,118
35,118
36,118
37,118
38,118
38,111
35,108
34,106
33,106
32,101
33,104
34,104
38,107
38,105
41,101
38,93
40,86
38,81
38,74
40,69
41,67
38,65
38,63
34,64
33,66
33,64
34,62
33,62
34,56
38,57
40,58
41,47
38,40
40,41
48,46
48,52
51,53
51,56
51,58
51,60
48,57
48,59
48,62
48,63
48,65
48,68
48,71
48,72
48,74
49,75
48,77
48,79
48,82
48,88
48,91
48,98
48,100
51,101
55,97
56,100
57,100
57,104
56,104
51,105
48,104
48,107
51,108
51,112
56,107
57,107
58,109
61,112
61,108
61,105
61,101
61,99
71,95
71,99
71,100
71,101
71,107
74,108
74,112
72,118
73,118
74,118
75,118
76,118
77,118
78,118
79,118
80,118
81,118
84,112
84,108
81,109
80,107
79,107
80,102
78,98
78,95
87,95
84,87
86,80
84,75
84,68
86,63
87,61
94,68
94,71
97,72
97,69
102,68
103,68
107,69
107,72
107,76
104,73
103,71
102,71
97,76
97,80
97,82
94,79
94,81
94,83
94,85
97,86
97,84
102,85
103,85
102,83
103,83
103,81
102,81
102,79
103,79
107,80
107,82
107,84
107,86
107,90
107,92
103,89
102,89
97,92
97,90
94,90
94,92
94,97
94,98
94,99
94,102
94,110
94,108
97,102
102,101
103,101
103,104
107,102
109,97
110,98
117,96
117,103
117,105
120,108
117,111
123,118
125,118
126,118
132,111
130,108
126,107
132,105
132,103
131,96
133,92
133,90
133,88
126,95
125,95
126,93
125,92
124,92
123,92
120,90
126,85
125,84
124,84
123,84
120,82
120,74
123,76
124,76
125,76
126,77
126,69
125,68
124,68
123,68
120,66
123,62
124,62
125,62
126,62
127,62
133,63
133,64
133,66
133,68
133,71
133,72
133,74
133,76
133,79
133,80
133,82
133,84
140,78
140,77
140,76
140,69
140,68
140,67
140,63
140,62
140,61
140,60
147,66
149,70
147,75
149,79
150,84
153,87
149,89
148,89
147,89
143,87
143,91
140,90
140,92
140,94
140,96
143,95
143,99
140,98
140,100
140,102
143,103
140,104
140,106
140,107
143,111
149,109
155,107
163,105
163,107
163,110
166,107
166,105
166,103
166,101
163,101
163,99
166,99
166,97
163,97
163,90
166,86
163,78
163,77
163,76
170,75
172,79
172,84
171,89
172,89
177,90
171,96
172,96
176,97
176,99
176,101
176,103
171,104
172,104
176,105
176,107
178,110
186,110
186,108
195,104
189,103
186,103
186,100
189,99
186,98
186,96
189,95
186,94
186,92
186,90
189,91
195,89
194,89
193,89
186,83
186,78
186,76
186,75
186,74
186,73
186,72
186,67
186,65
186,64
186,63
186,62
186,61
186,58
186,57
179,56
179,60
179,62
179,63
172,70
170,66
163,69
163,68
163,67
163,63
163,62
163,61
163,60
156,63
156,62
156,60
163,56
163,55
163,54
163,51
163,49
172,55
178,51
178,49
172,44
179,42
179,41
179,39
179,38
186,38
186,36
186,34
186,32
186,30
189,30
189,32
189,34
189,36
189,38
186,41
186,43
186,45
186,49
186,51
186,50
189,47
189,45
189,43
189,41
194,40
195,40
194,31
195,31
199,32
199,34
199,36
199,38
199,41
199,43
199,45
199,47
193,48
195,52
201,58
202,61
202,62
202,64
202,65
195,67
202,72
202,73
202,75
202,76
195,78
194,82
195,82
200,83
209,86
209,84
209,82
209,80
212,80
212,82
212,84
212,86
209,89
209,92
217,91
218,91
218,100
217,100
209,101
212,110
212,112
218,109
222,110
222,112
216,118
217,118
218,118
219,118
220,118
221,118
222,118
231,110
231,108
231,101
231,99
234,99
234,101
234,103
240,104
239,98
240,98
244,99
244,101
244,103
251,107
251,97
251,87
246,87
246,85
245,78
251,77
251,67
246,65
246,64
246,61
251,63
251,61
251,59
251,58
251,57
251,56
246,58
246,55
244,53
244,51
244,49
244,47
251,47
251,37
251,27
244,26
239,25
240,25
244,28
244,30
244,32
244,35
244,37
244,39
244,41
240,46
239,46
240,42
239,38
240,38
240,34
239,34
234,32
234,30
234,28
234,26
234,24
234,20
234,16
238,14
239,14
240,14
244,10
244,8
241,5
240,9
234,8
234,10
231,15
231,17
231,19
231,21
231,24
231,26
231,28
231,30
231,32
231,35
234,35
234,37
234,39
231,39
234,41
234,44
234,47
231,47
231,49
231,51
234,49
234,51
234,53
231,54
231,55
231,57
231,58
231,60
231,61
231,64
231,65
231,69
231,71
231,70
238,68
240,72
240,77
239,77
231,78
231,85
231,87
240,89
239,89
231,90
224,89
222,86
222,84
222,82
222,80
218,79
217,79
218,74
216,70
209,72
209,73
209,71
209,64
209,60
212,62
212,60
212,58
217,59
218,59
217,63
218,63
223,64
222,62
222,60
222,58
222,56
222,54
222,52
218,51
217,51
212,52
212,54
212,56
209,56
209,54
209,52
209,45
209,42
209,40
209,38
209,35
209,33
209,30
209,28
209,26
212,26
212,28
212,30
212,33
212,35
212,38
212,40
212,42
217,44
218,44
223,45
222,42
222,40
222,38
218,37
217,37
217,32
218,32
222,35
222,33
222,30
222,28
222,26
218,25
217,25
216,20
217,20
218,20
222,18
222,16
222,14
222,11
218,13
217,13
219,8
218,5
212,7
212,11
212,14
212,16
212,18
212,22
209,23
209,21
209,18
209,16
209,14
199,11
199,9
199,6
195,8
195,5
189,6
189,9
189,11
186,14
189,15
193,13
194,13
195,13
195,20
194,20
193,20
189,19
189,22
189,26
186,27
186,25
186,23
186,21
186,19
186,16
179,16
179,15
179,13
179,12
178,9
176,6
172,5
166,6
163,9
163,12
163,13
163,14
163,15
163,16
163,18
172,18
173,22
176,25
179,27
179,28
179,30
179,31
172,33
166,25
163,27
163,28
163,29
163,30
163,31
163,33
163,38
163,39
163,40
163,41
163,42
163,44
156,40
149,39
148,43
149,43
153,44
153,48
149,47
148,47
147,50
149,54
140,53
140,52
140,51
140,48
143,48
143,44
140,44
140,40
140,39
140,38
140,35
143,34
140,33
140,31
140,29
143,30
143,27
147,28
148,28
149,28
153,27
150,24
149,20
156,18
156,17
156,15
156,14
149,5
140,9
140,11
140,14
140,15
140,16
140,17
140,18
140,20
133,19
133,17
133,15
130,11
127,8
