x,y
79,107
80,102
78,98
84,87
78,95
71,101
71,100
71,99
71,95
64,92
63,88
71,86
71,83
71,81
71,80
64,80
61,83
61,76
63,71
63,65
61,62
61,60
61,58
57,61
56,59
57,59
57,57
56,57
57,54
56,52
57,52
61,53
62,46
57,45
56,45
57,40
55,36
51,35
48,35
48,37
48,38
48,39
48,46
48,52
51,53
51,56
48,57
48,59
51,58
51,60
48,62
48,63
48,65
48,68
48,71
48,72
48,74
49,75
48,77
48,79
48,82
48,88
48,91
55,97
57,100
61,99
61,101
57,104
61,105
71,107
74,108
74,112
84,112
81,118
80,118
79,118
78,118
77,118
76,118
75,118
74,118
73,118
72,118
61,112
61,108
58,109
57,107
56,107
51,112
51,108
48,107
48,104
51,105
56,104
56,100
51,101
48,98
48,100
41,101
38,105
38,107
34,104
32,101
33,104
33,106
34,106
35,108
38,111
38,118
37,118
36,118
35,118
34,118
33,118
32,118
31,118
28,111
28,107
28,105
25,106
25,104
25,101
17,109
15,107
15,105
9,103
10,106
11,106
11,111
5,113
0,111
2,109
5,107
2,106
0,105
2,104
0,99
2,97
2,94
0,93
2,88
0,87
2,85
2,83
0,81
3,81
2,80
2,78
2,77
0,75
2,74
2,71
2,69
2,68
0,69
0,67
2,65
5,66
3,63
2,62
0,63
0,57
0,56
2,52
0,51
2,49
3,47
2,46
0,45
0,39
2,35
0,33
2,32
3,30
2,29
0,27
2,22
0,21
2,20
3,19
2,18
0,15
2,12
2,11
0,9
0,3
5,8
9,10
12,5
15,8
15,11
28,11
28,9
28,6
34,8
34,5
38,6
38,9
38,11
40,18
38,15
32,14
25,15
25,16
25,18
25,21
25,25
17,20
15,30
17,32
25,29
25,32
18,38
25,39
25,41
25,44
15,47
17,49
18,55
25,56
26,57
25,58
25,62
25,64
28,63
28,65
25,67
25,69
25,70
25,73
25,76
25,80
25,77
15,68
11,67
10,65
11,65
15,64
15,66
17,71
17,77
15,82
18,86
15,89
17,94
18,98
25,92
25,89
25,86
25,87
38,93
40,86
38,81
38,74
40,69
41,67
38,65
38,63
34,62
34,64
33,66
33,64
33,62
34,56
38,57
40,58
41,47
40,41
38,40
38,28
40,29
48,30
48,32
51,31
55,29
56,29
57,29
51,27
51,25
48,25
48,22
51,21
48,20
48,13
48,12
48,11
51,7
57,5
55,10
57,14
57,19
56,19
55,19
56,24
57,24
61,25
61,27
71,21
71,20
71,19
71,18
71,14
71,13
71,12
71,6
74,10
80,13
80,8
86,6
97,7
103,5
101,14
97,11
94,15
94,16
94,17
87,14
87,18
87,20
87,21
84,25
84,27
80,24
79,24
74,25
71,25
71,29
71,37
74,34
74,30
74,27
79,29
80,29
81,31
79,36
80,36
85,37
84,34
84,30
94,33
94,32
94,31
94,30
94,26
94,24
97,25
101,23
102,23
103,18
103,23
103,36
102,36
101,36
97,38
94,37
94,39
94,42
94,44
94,43
101,41
101,50
103,45
110,33
110,32
110,30
120,25
120,17
120,11
120,7
126,5
127,8
130,11
127,13
126,13
125,13
124,13
123,13
123,19
124,19
125,19
126,20
133,19
133,17
133,15
140,17
140,20
140,18
140,16
140,15
140,14
140,11
140,9
149,5
156,14
156,15
163,18
163,16
163,15
163,14
163,13
163,12
163,9
166,6
172,5
176,6
178,9
179,12
179,13
179,15
179,16
172,18
173,22
176,25
179,27
179,28
179,30
179,31
172,33
163,33
163,31
163,30
163,29
163,28
166,25
163,27
153,27
156,17
156,18
149,20
150,24
149,28
148,28
147,28
143,27
143,30
140,29
133,23
133,25
133,27
133,31
133,33
133,40
133,39
133,35
133,30
126,28
125,27
124,27
123,27
120,33
123,35
124,35
125,35
126,36
126,42
125,42
120,41
117,43
117,50
120,51
124,49
125,49
126,49
131,43
140,53
140,52
140,51
143,48
140,48
140,44
143,44
140,40
140,39
140,38
140,35
140,33
140,31
143,34
149,39
148,43
149,43
149,47
148,47
147,50
149,54
153,48
153,44
156,40
163,38
163,39
163,40
163,41
163,42
163,44
163,49
163,51
163,54
163,55
163,56
163,60
163,61
163,62
163,63
163,67
163,68
163,69
163,76
163,77
163,78
170,75
172,79
172,84
166,86
171,89
172,89
177,90
186,83
186,78
186,76
186,75
186,74
186,73
186,72
186,67
186,65
195,78
194,82
195,82
202,76
202,75
202,73
202,72
195,67
202,65
202,64
202,62
202,61
201,58
195,52
193,48
189,47
186,49
186,50
186,51
186,57
186,58
186,61
186,62
186,63
186,64
179,60
179,62
179,63
172,70
170,66
172,55
179,56
178,51
178,49
172,44
179,42
179,41
179,39
179,38
186,41
186,43
186,45
189,45
189,43
189,41
189,38
189,36
186,38
186,36
186,34
189,34
189,32
189,30
186,32
186,30
186,27
186,25
186,23
186,21
186,19
186,16
186,14
189,11
189,9
189,6
195,8
195,5
199,6
199,9
199,11
195,13
194,13
193,13
189,15
189,19
194,20
195,20
193,20
189,22
189,26
194,31
195,31
199,32
199,34
199,36
199,38
195,40
194,40
199,41
199,43
199,45
199,47
209,45
212,42
209,42
209,40
212,40
212,38
209,38
209,35
209,33
212,35
212,33
217,32
218,32
217,37
218,37
222,42
222,40
222,38
222,35
222,33
222,30
222,28
222,26
218,25
217,25
212,26
212,28
212,30
209,30
209,28
209,26
209,23
209,21
209,18
209,16
209,14
212,14
212,16
212,18
212,22
216,20
217,20
218,20
222,18
222,16
222,14
218,13
217,13
212,11
212,7
218,5
219,8
222,11
234,10
234,8
240,9
241,5
244,8
244,10
240,14
239,14
238,14
234,16
231,15
231,17
231,19
231,21
231,24
234,24
234,20
239,25
240,25
234,26
231,26
231,28
231,30
231,32
234,28
234,30
234,32
231,35
231,39
234,41
234,39
234,37
234,35
239,38
239,34
240,34
244,35
244,32
244,30
244,28
244,26
251,27
251,37
244,39
244,37
240,38
244,41
240,42
239,46
240,46
244,47
251,47
244,49
244,51
244,53
246,55
251,56
251,57
251,58
251,59
246,58
246,61
251,61
251,63
246,64
246,65
251,67
251,77
245,78
240,77
239,77
240,72
238,68
231,69
231,70
231,71
231,78
231,85
231,87
231,90
239,89
240,89
246,87
246,85
251,87
251,97
251,107
244,103
240,104
244,101
244,99
240,98
239,98
234,99
231,99
231,101
234,101
234,103
231,108
231,110
222,110
218,109
222,112
222,118
221,118
220,118
219,118
218,118
217,118
216,118
212,112
212,110
217,100
218,100
209,101
209,92
209,89
217,91
218,91
224,89
222,86
222,84
222,82
222,80
218,79
217,79
218,74
216,70
218,63
217,63
218,59
217,59
217,51
218,51
222,54
222,56
222,58
222,60
222,62
223,64
231,65
231,64
231,61
231,60
231,58
231,57
234,53
234,51
234,49
234,47
234,44
231,47
231,49
231,51
231,54
231,55
222,52
223,45
218,44
217,44
212,52
209,52
209,54
209,56
212,54
212,56
212,58
212,60
212,62
209,60
209,64
209,71
209,72
209,73
209,80
209,82
212,80
212,82
212,84
212,86
209,86
209,84
200,83
195,89
194,89
193,89
189,91
186,90
186,92
186,94
186,96
189,95
189,99
195,104
186,110
186,108
186,103
189,103
186,100
186,98
176,97
172,96
176,99
176,101
176,103
176,105
178,110
176,107
172,104
171,104
166,103
166,105
166,107
163,107
163,110
149,109
