x,y
61,40
61,37
57,36
57,39
51,42
51,40
51,37
48,34
48,32
51,26
51,22
51,18
51,14
51,11
48,10
51,7
54,0
55,0
57,5
56,10
57,10
57,12
58,15
55,19
56,20
55,22
56,24
55,26
57,28
61,25
61,21
61,18
61,11
71,6
72,0
73,0
86,6
94,6
94,10
97,11
102,10
103,10
109,6
107,11
104,12
107,15
103,16
97,15
94,20
94,22
97,25
97,28
97,30
103,27
103,24
107,25
107,28
107,30
109,34
109,35
109,36
120,34
120,29
123,26
120,25
120,19
120,15
120,11
120,7
126,5
127,12
130,15
127,16
130,19
130,25
130,29
130,34
130,39
130,43
125,42
124,40
125,38
124,37
120,40
120,44
124,44
126,46
126,54
126,57
130,55
130,58
130,60
132,63
117,63
120,60
120,58
120,55
117,52
117,50
110,52
103,55
103,58
97,64
97,60
97,57
94,52
103,42
94,36
94,35
94,34
87,33
87,35
87,37
87,39
87,41
87,42
87,45
87,44
84,43
84,37
84,31
87,31
87,29
87,27
84,25
87,25
87,23
87,21
87,19
84,19
87,17
87,15
87,13
87,11
84,13
81,10
80,10
79,10
78,10
74,13
74,19
74,25
74,31
74,37
74,43
80,47
80,50
74,49
71,54
71,56
74,59
80,58
84,59
84,62
84,64
80,61
74,62
74,64
64,61
48,61
41,61
25,61
15,64
12,61
5,64
0,60
0,51
2,44
11,42
10,42
5,40
5,36
5,33
0,33
2,28
11,31
11,34
18,28
17,21
15,18
11,17
5,18
2,21
0,15
5,13
5,8
9,10
10,10
11,10
12,10
12,5
15,8
15,13
18,11
18,13
18,14
18,15
25,14
25,12
25,10
28,7
34,5
32,10
33,10
34,10
34,13
33,13
32,13
28,12
28,15
25,16
25,18
28,19
25,20
25,23
28,23
35,24
38,27
34,28
28,27
25,32
25,34
28,37
28,40
28,42
25,45
34,51
34,39
34,36
38,37
38,40
38,42
40,45
48,45
57,51
63,45
61,42
