x,y
126,33
126,31
125,31
125,33
124,33
120,35
120,32
117,29
117,28
117,31
117,33
117,35
117,36
117,38
120,37
120,39
120,41
117,44
117,51
109,47
109,50
109,53
110,57
109,59
109,62
110,63
109,69
103,71
107,78
107,83
107,88
107,92
102,91
101,93
103,95
94,101
94,99
97,93
97,89
101,89
102,87
101,86
97,83
97,78
100,75
94,69
87,70
86,69
86,63
86,59
94,64
94,63
94,62
94,59
94,58
95,56
94,54
94,53
94,50
94,49
94,47
94,46
94,45
97,45
97,42
94,43
94,41
87,39
87,40
87,46
87,47
84,48
80,49
78,45
79,45
80,45
81,45
80,42
79,42
78,42
77,37
78,37
79,37
80,37
81,37
80,34
79,34
78,34
74,36
71,30
71,34
71,36
71,38
74,41
74,44
71,42
71,44
71,45
74,48
71,53
71,55
71,59
71,60
71,63
71,64
71,68
71,69
71,70
71,73
74,73
74,75
74,79
77,76
79,72
80,72
84,73
84,75
84,79
84,84
84,89
84,93
80,96
78,94
79,92
78,90
79,88
78,87
74,84
74,90
74,94
71,100
71,102
61,109
63,103
61,100
61,98
61,95
57,97
57,94
57,86
61,85
58,82
57,79
63,77
63,75
63,72
63,70
64,64
63,63
63,60
64,58
63,54
63,51
61,49
61,47
61,45
64,44
64,43
63,39
63,35
58,42
57,42
56,42
55,42
57,46
56,46
57,48
56,48
51,49
51,47
51,45
48,46
48,48
48,50
48,51
48,54
48,55
49,57
48,59
48,60
41,58
41,64
48,63
48,64
48,65
48,70
48,72
40,74
40,76
41,77
48,75
48,77
51,81
51,85
48,90
48,92
51,95
51,98
51,100
48,103
38,103
35,100
34,93
32,93
28,103
15,100
15,96
9,94
10,95
9,97
10,99
9,101
5,101
5,97
2,82
0,77
2,77
2,75
2,70
2,69
2,68
2,65
0,64
2,64
3,62
2,60
2,59
0,58
2,56
2,54
2,49
2,48
2,47
0,45
2,44
2,43
3,41
2,39
0,39
2,38
5,36
2,35
2,33
2,32
2,31
2,25
0,20
2,16
2,11
2,9
11,5
11,15
10,15
10,24
11,24
16,25
17,32
17,33
11,35
10,35
15,36
17,38
18,42
17,44
17,47
18,48
17,54
17,56
17,59
18,63
17,65
17,68
18,69
17,75
10,79
11,79
17,77
25,77
25,76
25,75
25,74
26,63
25,62
25,60
25,59
25,49
25,48
40,48
41,47
48,42
48,40
48,39
48,36
48,35
51,31
38,23
34,27
28,23
28,18
31,15
28,14
28,8
35,5
38,8
38,14
38,18
48,19
51,24
51,27
57,25
57,22
64,19
57,9
61,0
72,0
74,6
74,9
74,11
71,14
80,20
86,14
84,11
84,9
80,8
80,5
84,6
90,0
97,7
97,11
97,14
94,13
94,16
94,18
97,17
97,21
94,24
87,30
94,31
94,34
94,36
94,38
94,39
97,40
97,38
97,35
101,36
102,36
103,34
102,34
103,36
102,39
103,39
103,41
102,41
101,43
102,43
103,43
107,42
107,40
107,35
110,31
109,24
107,21
103,20
103,15
102,15
101,15
102,13
103,13
107,14
107,11
104,8
103,5
107,0
108,0
120,8
117,11
117,13
120,17
120,20
120,24
126,18
126,15
127,5
130,8
132,11
132,13
140,16
140,14
140,11
143,8
149,10
150,5
153,8
155,11
153,15
155,17
156,18
153,21
155,23
156,24
155,28
155,29
163,33
163,31
163,28
163,25
163,24
163,23
163,21
163,19
163,16
163,14
163,11
166,7
172,5
172,10
178,11
176,15
178,17
179,18
176,21
172,23
172,27
178,28
178,23
179,24
186,22
186,28
186,29
186,32
186,34
189,33
193,31
194,31
195,31
201,28
202,22
195,12
186,6
185,0
186,0
187,0
188,0
201,6
209,0
210,0
216,0
227,15
227,29
227,43
227,45
227,52
227,57
227,71
199,66
196,63
196,67
199,70
199,76
199,80
199,85
199,90
199,94
194,93
193,95
195,97
186,103
186,101
189,95
189,91
193,91
194,89
193,88
189,85
189,80
192,77
189,76
189,70
189,66
189,62
189,58
189,55
195,56
195,53
194,48
195,48
199,49
201,51
201,46
199,42
199,40
199,37
195,39
195,36
189,37
189,40
189,42
186,45
186,46
189,49
186,51
186,48
179,41
178,40
179,35
178,34
176,32
176,38
172,40
172,44
176,45
178,48
178,51
178,54
179,58
178,60
178,63
179,64
178,70
178,72
176,80
172,74
169,77
166,76
166,80
166,85
170,88
171,89
176,85
176,90
176,94
172,97
170,95
171,93
170,91
166,91
166,95
163,101
163,103
156,101
140,101
149,91
140,85
143,82
143,80
143,77
143,75
149,76
149,79
155,85
153,82
153,80
153,77
153,75
150,72
155,70
155,68
163,72
163,70
163,65
163,64
163,63
163,60
163,59
164,57
156,62
155,61
155,58
156,56
155,52
163,55
163,54
163,51
163,50
163,48
166,45
163,42
163,41
163,40
163,38
163,36
155,43
155,44
149,46
148,46
147,46
143,48
140,49
140,52
140,53
141,55
140,57
140,58
140,61
140,62
140,63
140,68
140,70
132,62
132,59
132,58
127,65
130,68
130,74
130,78
130,83
130,88
130,92
125,91
124,93
126,95
117,101
117,99
120,93
120,89
124,89
125,87
124,86
120,83
120,78
123,75
120,74
120,68
117,63
117,62
117,59
117,58
117,57
117,55
120,56
125,55
126,55
130,56
133,51
140,47
140,44
140,43
143,40
143,36
143,33
149,34
149,31
149,23
140,19
140,21
140,23
140,24
140,25
140,28
140,29
132,28
130,32
130,37
130,39
130,41
132,44
126,40
126,38
125,38
126,36
125,36
