x,y
143,75
149,76
150,72
155,70
153,75
153,77
153,80
155,85
149,91
153,82
149,79
143,80
143,82
140,85
140,101
156,101
163,103
163,101
172,97
176,90
176,94
186,103
186,101
189,95
193,95
195,97
199,94
199,90
199,85
199,80
193,88
194,89
193,91
194,93
189,91
189,85
189,80
192,77
189,76
189,70
189,66
189,62
189,58
189,55
179,58
178,54
178,51
178,48
176,45
172,44
172,40
176,38
178,34
179,35
186,34
178,40
179,41
186,45
186,46
186,48
186,51
189,49
194,48
195,48
201,46
199,49
201,51
195,53
195,56
196,63
199,66
196,67
199,70
199,76
227,71
227,57
227,52
227,45
227,43
227,29
227,15
216,0
210,0
209,0
201,6
188,0
187,0
186,0
185,0
186,6
195,12
202,22
201,28
195,31
194,31
193,31
195,36
199,37
199,40
199,42
195,39
189,42
189,40
189,37
189,33
186,32
186,29
186,28
186,22
178,28
176,32
172,27
172,23
176,21
179,24
178,23
179,18
178,17
176,15
178,11
172,10
172,5
166,7
163,11
163,14
163,16
163,19
163,21
163,23
163,24
163,25
163,28
163,31
163,33
163,36
163,38
163,40
163,41
163,42
166,45
163,48
163,50
163,51
163,54
163,55
164,57
163,59
163,60
163,63
178,60
178,63
179,64
178,70
178,72
176,80
176,85
171,89
170,91
171,93
170,95
166,95
166,91
170,88
166,85
166,80
169,77
172,74
166,76
163,72
163,70
163,65
163,64
155,68
156,62
155,61
155,58
156,56
155,52
155,43
155,44
149,46
148,46
147,46
143,48
149,34
149,31
155,29
155,28
156,24
155,23
153,21
156,18
155,17
153,15
155,11
153,8
150,5
149,10
143,8
140,11
140,14
140,16
140,19
140,21
140,23
140,24
140,25
149,23
140,28
140,29
143,33
143,36
143,40
140,43
140,44
140,47
140,49
140,52
140,53
141,55
140,57
140,58
140,61
140,62
140,63
140,68
140,70
130,68
127,65
132,62
132,59
132,58
130,56
133,51
132,44
130,41
130,39
130,37
126,40
126,38
126,36
125,36
125,38
120,39
120,41
117,44
117,38
120,37
120,35
125,33
126,33
130,32
132,28
126,31
125,31
124,33
120,32
117,35
117,36
117,33
117,31
117,29
117,28
110,31
109,24
107,21
120,24
120,20
120,17
126,18
126,15
132,13
132,11
130,8
127,5
120,8
117,11
117,13
107,14
107,11
104,8
103,5
107,0
108,0
90,0
97,7
97,11
102,13
103,13
103,15
102,15
101,15
103,20
97,17
97,14
94,13
94,16
94,18
97,21
94,24
87,30
80,20
86,14
84,11
84,9
84,6
80,5
80,8
74,11
71,14
74,9
74,6
72,0
61,0
57,9
64,19
71,30
78,34
79,34
80,34
81,37
80,37
79,37
78,37
77,37
74,36
71,34
71,36
71,38
74,41
71,42
71,44
74,44
78,45
79,45
80,45
81,45
78,42
79,42
80,42
87,40
87,39
87,46
87,47
84,48
80,49
74,48
71,45
64,44
64,43
63,39
63,35
57,25
57,22
51,24
51,27
51,31
48,35
48,36
48,39
48,40
48,42
51,45
56,48
57,48
57,46
56,46
55,42
56,42
57,42
58,42
61,45
61,47
61,49
63,51
63,54
71,53
71,55
71,59
64,58
63,60
63,63
64,64
71,64
71,63
71,60
86,59
86,63
86,69
87,70
84,73
84,75
84,79
80,72
79,72
77,76
74,79
74,75
74,73
71,73
71,70
71,69
71,68
63,70
63,72
63,75
63,77
57,79
58,82
61,85
57,86
51,85
51,81
48,77
48,75
48,72
48,70
48,65
48,64
48,63
41,64
41,58
48,60
48,59
49,57
48,55
48,54
48,51
48,50
48,48
51,49
51,47
48,46
41,47
40,48
34,27
38,23
48,19
38,18
38,14
38,8
35,5
28,8
28,14
31,15
28,18
28,23
17,38
18,42
17,44
25,48
25,49
25,59
25,60
25,62
26,63
40,74
41,77
40,76
25,77
25,76
25,74
25,75
17,77
17,75
18,69
17,68
17,65
18,63
17,59
17,56
17,54
18,48
17,47
11,35
10,35
15,36
17,33
17,32
16,25
11,24
10,24
11,15
10,15
11,5
2,9
2,11
2,16
0,20
2,25
2,31
2,32
2,33
2,35
5,36
2,38
0,39
2,39
3,41
2,43
2,44
0,45
2,47
2,48
2,49
2,54
2,56
0,58
2,59
2,60
3,62
2,64
0,64
2,65
2,68
2,69
2,70
2,75
2,77
0,77
2,82
11,79
10,79
9,94
10,95
5,97
5,101
9,101
10,99
9,97
15,96
15,100
28,103
32,93
34,93
35,100
38,103
48,103
51,100
51,98
48,92
48,90
51,95
57,97
57,94
61,95
61,98
61,100
63,103
61,109
71,102
71,100
74,94
74,90
74,84
78,87
79,88
78,90
79,92
78,94
80,96
84,93
84,89
84,84
97,83
97,89
101,89
102,91
101,93
97,93
94,99
94,101
103,95
107,92
107,88
101,86
102,87
107,83
107,78
109,69
110,63
103,71
100,75
97,78
94,69
94,64
94,63
94,62
94,59
94,58
95,56
94,54
94,53
94,50
94,49
94,47
94,46
94,45
97,45
94,43
94,41
94,39
94,38
94,36
94,34
94,31
97,35
97,38
97,40
97,42
102,41
102,39
102,36
101,36
102,34
103,34
107,35
103,36
103,39
101,43
102,43
103,43
103,41
107,40
107,42
109,47
109,50
109,53
110,57
109,59
109,62
117,55
117,51
125,55
126,55
120,56
117,57
117,58
117,59
117,62
117,63
120,68
120,74
123,75
120,78
120,83
124,86
125,87
124,89
120,89
120,93
117,99
117,101
126,95
124,93
125,91
130,92
130,88
130,83
130,78
130,74
143,77
