input_data,num_vertices,avg_cycle_weight,min_cycle_weight,init_temperature,alpha,min_temperature,max_iter
data\xqf131.tsp,131,606,575,10,0.95,0.1,0.1
data\xqg237.tsp,237,1117,1095,10,0.95,0.1,0.1
data\pma343.tsp,343,1470,1443,10,0.95,0.1,0.1
data\pka379.tsp,379,1427,1400,10,0.95,0.1,0.1
data\bcl380.tsp,380,1798,1714,10,0.95,0.1,0.1
data\pbl395.tsp,395,1404,1380,10,0.95,0.1,0.1
data\pbk411.tsp,411,1484,1455,10,0.95,0.1,0.1
data\pbn423.tsp,423,1513,1474,10,0.95,0.1,0.1
data\pbm436.tsp,436,1594,1566,10,0.95,0.1,0.1
data\xql662.tsp,662,2795,2738,10,0.95,0.1,0.1
data\xqf131.tsp,131,577,567,10,0.99,0.01,0.1
data\xqg237.tsp,237,1051,1039,10,0.99,0.01,0.1
data\pma343.tsp,343,1392,1388,10,0.99,0.01,0.1
data\pka379.tsp,379,1359,1347,10,0.99,0.01,0.1
data\bcl380.tsp,380,1678,1659,10,0.99,0.01,0.1
data\pbl395.tsp,395,1330,1297,10,0.99,0.01,0.1
data\pbk411.tsp,411,1396,1381,10,0.99,0.01,0.1
data\pbn423.tsp,423,1426,1416,10,0.99,0.01,0.1
data\pbm436.tsp,436,1506,1483,10,0.99,0.01,0.1
data\xql662.tsp,662,2636,2600,10,0.99,0.01,0.1
data\xqf131.tsp,131,575,571,50,0.99,0.01,0.3
data\xqg237.tsp,237,1036,1028,50,0.99,0.01,0.3
data\pma343.tsp,343,1379,1374,50,0.99,0.01,0.3
data\pka379.tsp,379,1342,1334,50,0.99,0.01,0.3
data\bcl380.tsp,380,1664,1645,50,0.99,0.01,0.3
data\pbl395.tsp,395,1313,1300,50,0.99,0.01,0.3
data\pbk411.tsp,411,1379,1359,50,0.99,0.01,0.3
data\pbn423.tsp,423,1392,1376,50,0.99,0.01,0.3
data\pbm436.tsp,436,1476,1456,50,0.99,0.01,0.3
