input_data,num_vertices,avg_cycle_weight,min_cycle_weight,max_taboo_list_size,max_iterations
data\xqf131.tsp,131,613,588,10,10
data\xqg237.tsp,237,1114,1073,10,10
data\pma343.tsp,343,1482,1452,10,10
data\pka379.tsp,379,1448,1429,10,10
data\bcl380.tsp,380,1812,1751,10,10
data\pbl395.tsp,395,1439,1407,10,10
data\pbk411.tsp,411,1477,1448,10,10
data\pbn423.tsp,423,1524,1495,10,10
data\pbm436.tsp,436,1620,1593,10,10
data\xql662.tsp,662,2830,2801,10,10
data\xqf131.tsp,131,614,598,10,5
data\xqg237.tsp,237,1123,1087,10,5
data\pma343.tsp,343,1479,1447,10,5
data\pka379.tsp,379,1441,1404,10,5
data\bcl380.tsp,380,1814,1786,10,5
data\pbl395.tsp,395,1428,1395,10,5
data\pbk411.tsp,411,1493,1456,10,5
data\pbn423.tsp,423,1524,1485,10,5
data\pbm436.tsp,436,1602,1574,10,5
data\xql662.tsp,662,2817,2780,10,5
data\xqf131.tsp,131,609,589,10,50
data\xqg237.tsp,237,1119,1095,10,50
data\pma343.tsp,343,1465,1429,10,50
data\pka379.tsp,379,1445,1398,10,50
data\bcl380.tsp,380,1791,1721,10,50
data\pbl395.tsp,395,1431,1375,10,50
data\pbk411.tsp,411,1487,1442,10,50
data\pbn423.tsp,423,1519,1466,10,50
data\pbm436.tsp,436,1616,1543,10,50
data\xql662.tsp,662,2832,2785,10,50
data\xqf131.tsp,131,614,597,10,20
data\xqg237.tsp,237,1115,1087,10,20
data\pma343.tsp,343,1476,1436,10,20
data\pka379.tsp,379,1442,1410,10,20
data\bcl380.tsp,380,1809,1768,10,20
data\pbl395.tsp,395,1426,1368,10,20
data\pbk411.tsp,411,1494,1457,10,20
data\pbn423.tsp,423,1524,1487,10,20
data\pbm436.tsp,436,1609,1583,10,20
data\xql662.tsp,662,2810,2766,10,20
data\xqf131.tsp,131,615,604,50,10
data\xqg237.tsp,237,1113,1073,50,10
data\pma343.tsp,343,1478,1454,50,10
data\pka379.tsp,379,1452,1430,50,10
data\bcl380.tsp,380,1812,1733,50,10
data\pbl395.tsp,395,1410,1365,50,10
data\pbk411.tsp,411,1491,1467,50,10
data\pbn423.tsp,423,1516,1492,50,10
data\pbm436.tsp,436,1611,1567,50,10
data\xql662.tsp,662,2812,2756,50,10
data\xqf131.tsp,131,608,584,50,5
data\xqg237.tsp,237,1117,1080,50,5
data\pma343.tsp,343,1490,1457,50,5
data\pka379.tsp,379,1444,1419,50,5
data\bcl380.tsp,380,1813,1769,50,5
data\pbl395.tsp,395,1429,1403,50,5
data\pbk411.tsp,411,1496,1473,50,5
data\pbn423.tsp,423,1530,1467,50,5
data\pbm436.tsp,436,1619,1586,50,5
data\xql662.tsp,662,2788,2729,50,5
data\xqf131.tsp,131,611,592,50,50
data\xqg237.tsp,237,1106,1077,50,50
data\pma343.tsp,343,1485,1453,50,50
data\pka379.tsp,379,1450,1425,50,50
data\bcl380.tsp,380,1820,1762,50,50
data\pbl395.tsp,395,1434,1394,50,50
data\pbk411.tsp,411,1489,1429,50,50
data\pbn423.tsp,423,1524,1487,50,50
data\pbm436.tsp,436,1612,1545,50,50
data\xql662.tsp,662,2801,2730,50,50
data\xqf131.tsp,131,606,589,50,20
data\xqg237.tsp,237,1128,1091,50,20
data\pma343.tsp,343,1468,1444,50,20
data\pka379.tsp,379,1444,1393,50,20
data\bcl380.tsp,380,1813,1787,50,20
data\pbl395.tsp,395,1426,1389,50,20
data\pbk411.tsp,411,1485,1455,50,20
data\pbn423.tsp,423,1519,1482,50,20
data\pbm436.tsp,436,1614,1569,50,20
data\xql662.tsp,662,2816,2751,50,20
data\xqf131.tsp,131,605,592,100,10
data\xqg237.tsp,237,1119,1097,100,10
data\pma343.tsp,343,1483,1444,100,10
data\pka379.tsp,379,1448,1422,100,10
data\bcl380.tsp,380,1826,1782,100,10
data\pbl395.tsp,395,1424,1382,100,10
data\pbk411.tsp,411,1489,1447,100,10
data\pbn423.tsp,423,1518,1483,100,10
data\pbm436.tsp,436,1613,1579,100,10
data\xql662.tsp,662,2822,2751,100,10
data\xqf131.tsp,131,605,577,100,5
data\xqg237.tsp,237,1119,1088,100,5
data\pma343.tsp,343,1484,1465,100,5
data\pka379.tsp,379,1442,1404,100,5
data\bcl380.tsp,380,1809,1752,100,5
data\pbl395.tsp,395,1435,1404,100,5
data\pbk411.tsp,411,1496,1474,100,5
data\pbn423.tsp,423,1533,1489,100,5
data\pbm436.tsp,436,1607,1562,100,5
data\xql662.tsp,662,2830,2754,100,5
data\xqf131.tsp,131,609,596,100,50
data\xqg237.tsp,237,1110,1096,100,50
data\pma343.tsp,343,1489,1439,100,50
data\pka379.tsp,379,1437,1407,100,50
data\bcl380.tsp,380,1824,1777,100,50
data\pbl395.tsp,395,1432,1393,100,50
data\pbk411.tsp,411,1488,1436,100,50
data\pbn423.tsp,423,1535,1499,100,50
data\pbm436.tsp,436,1604,1571,100,50
data\xql662.tsp,662,2816,2783,100,50
data\xqf131.tsp,131,615,592,100,20
data\xqg237.tsp,237,1118,1098,100,20
data\pma343.tsp,343,1491,1470,100,20
data\pka379.tsp,379,1456,1431,100,20
data\bcl380.tsp,380,1789,1721,100,20
data\pbl395.tsp,395,1414,1389,100,20
data\pbk411.tsp,411,1477,1429,100,20
data\pbn423.tsp,423,1521,1476,100,20
data\pbm436.tsp,436,1606,1542,100,20
data\xql662.tsp,662,2819,2723,100,20
data\xqf131.tsp,131,621,602,20,10
data\xqg237.tsp,237,1119,1085,20,10
data\pma343.tsp,343,1483,1441,20,10
data\pka379.tsp,379,1447,1411,20,10
data\bcl380.tsp,380,1815,1742,20,10
data\pbl395.tsp,395,1425,1379,20,10
data\pbk411.tsp,411,1505,1477,20,10
data\pbn423.tsp,423,1518,1464,20,10
data\pbm436.tsp,436,1595,1558,20,10
data\xql662.tsp,662,2812,2751,20,10
data\xqf131.tsp,131,611,592,20,5
data\xqg237.tsp,237,1112,1087,20,5
data\pma343.tsp,343,1488,1456,20,5
data\pka379.tsp,379,1441,1424,20,5
