x,y
17,25
17,26
17,27
18,29
15,38
11,37
10,37
5,38
2,40
2,38
0,38
0,39
0,40
0,41
2,41
2,43
2,45
0,44
0,45
0,46
2,47
2,50
5,50
5,52
5,54
5,56
2,54
2,57
2,58
2,60
2,62
0,66
2,66
2,67
2,68
2,69
2,71
2,72
2,74
2,76
2,78
2,81
5,85
5,88
5,92
13,97
28,91
28,87
34,85
32,83
33,81
38,82
38,78
41,74
41,71
34,76
33,77
32,76
31,76
32,79
28,83
25,83
25,82
25,79
25,78
28,79
25,76
26,74
25,73
25,72
17,81
11,86
11,83
11,76
17,74
17,73
17,72
17,69
17,68
17,67
17,66
11,62
17,60
17,58
15,56
15,54
15,52
15,50
11,53
10,53
11,49
10,49
11,45
17,43
17,42
17,41
25,46
25,44
28,45
32,48
34,48
33,48
28,50
25,49
25,51
25,53
28,54
25,55
25,57
17,59
18,62
25,59
28,58
34,61
48,69
48,71
48,75
48,76
48,74
51,70
55,68
55,73
57,77
57,82
51,84
51,86
51,89
51,91
57,88
57,85
61,86
61,89
61,91
71,89
71,85
71,84
71,78
71,77
71,71
71,70
64,66
64,65
64,63
64,62
64,58
63,55
63,54
61,52
63,56
57,58
55,61
56,61
57,61
58,61
61,64
57,68
56,68
51,64
48,58
48,56
48,54
48,53
48,51
51,52
56,51
57,51
57,46
55,42
48,45
48,44
48,43
51,38
55,35
56,35
57,34
57,35
58,35
61,34
61,38
64,40
64,39
64,37
64,36
71,36
71,38
71,40
71,42
71,47
74,48
74,46
77,43
80,44
81,43
79,47
80,47
80,49
84,48
84,43
84,34
80,34
78,36
71,33
71,31
71,29
71,27
71,25
74,21
74,25
80,27
79,24
80,24
84,25
84,21
80,20
80,17
87,17
86,15
86,14
86,13
94,13
94,11
97,12
97,18
101,22
102,22
103,22
103,27
102,27
101,27
97,24
94,23
94,25
97,30
94,34
97,35
100,36
97,40
97,48
97,56
95,73
94,72
94,71
87,69
86,70
87,77
86,78
86,84
87,85
86,89
94,87
94,86
95,88
97,91
103,90
107,91
108,97
110,88
110,85
103,75
110,73
110,70
103,60
110,58
110,57
110,56
110,54
107,56
104,53
103,53
102,53
101,53
103,51
102,50
101,50
100,50
100,42
101,42
102,42
103,43
110,45
110,46
110,48
110,49
110,50
122,45
110,42
110,41
110,40
110,38
110,37
107,35
104,36
103,36
102,36
101,36
102,34
103,34
104,27
107,30
110,31
110,32
110,29
110,28
110,20
110,19
110,16
110,17
107,18
104,15
103,15
102,15
101,15
103,10
107,8
107,6
108,0
103,5
102,10
101,10
97,8
97,6
86,6
84,11
80,10
79,10
74,11
71,12
71,15
71,17
71,13
71,10
71,6
62,0
61,0
60,0
63,6
64,13
57,16
55,19
61,26
58,26
57,27
54,26
48,33
48,31
48,29
48,27
48,25
48,23
48,21
48,19
51,18
48,13
48,6
38,8
35,5
34,9
34,17
34,20
38,18
38,21
38,23
40,27
40,29
38,34
38,32
34,31
33,31
34,35
33,35
32,35
28,32
28,34
28,37
28,41
25,42
25,40
25,38
25,36
25,32
25,29
25,27
28,23
28,21
28,18
25,15
25,13
28,8
15,8
12,5
11,9
5,8
2,13
2,15
9,19
10,19
11,19
5,21
2,20
2,22
2,24
2,25
2,27
2,29
2,33
2,35
5,34
9,32
10,32
11,32
11,29
