x,y
34,88
25,78
25,77
25,70
25,71
12,79
11,76
11,73
10,73
9,73
9,70
10,70
11,70
11,67
18,67
17,65
17,64
17,63
15,60
15,58
11,59
10,59
11,58
11,51
8,45
9,38
9,33
10,33
11,33
15,29
18,28
18,27
18,30
18,31
12,45
15,45
17,47
17,49
25,47
25,45
25,43
25,41
25,40
25,37
25,35
25,33
25,32
25,30
25,28
25,26
25,24
25,22
25,20
28,21
32,24
31,31
34,37
35,31
38,31
40,33
40,34
40,35
41,37
40,41
40,42
34,45
34,49
40,43
48,44
48,45
48,46
48,47
48,51
48,53
48,55
48,57
48,59
48,60
48,62
48,64
48,66
48,69
51,69
51,71
51,75
48,76
48,74
48,71
41,69
40,70
41,77
40,78
40,84
41,85
38,89
38,91
48,82
48,80
48,78
51,79
51,83
48,84
51,88
51,92
57,86
58,89
61,92
60,97
61,97
62,97
74,91
74,89
74,87
80,88
84,89
84,91
97,85
97,88
97,92
108,97
103,86
103,83
94,81
97,78
97,73
103,77
107,78
109,81
110,75
110,74
110,72
110,71
107,73
104,70
103,70
102,70
101,70
101,65
102,65
103,65
103,60
101,56
102,54
103,54
107,55
107,51
107,47
110,43
110,40
103,45
102,46
101,45
100,45
101,48
102,50
101,52
97,48
94,47
94,48
94,51
94,52
97,52
97,55
94,54
94,57
94,58
94,59
94,66
97,67
94,68
87,65
87,66
87,68
87,69
87,70
78,73
79,73
80,73
80,71
79,70
78,70
77,70
74,68
74,75
74,79
74,83
71,87
71,84
71,82
71,80
71,78
71,76
71,74
61,69
61,71
57,73
56,73
55,73
57,68
56,68
57,64
63,62
63,61
63,60
61,58
57,58
57,51
63,47
63,46
63,45
63,44
71,45
71,46
72,47
78,49
79,49
80,49
81,49
81,56
80,56
79,56
78,56
77,56
74,52
74,60
77,62
78,62
79,62
80,63
87,62
87,61
87,60
87,58
87,57
87,54
87,53
84,52
87,51
87,50
87,47
87,44
94,45
95,43
94,42
94,41
87,32
87,29
80,34
72,32
71,31
71,30
63,28
63,29
63,30
64,32
61,36
61,38
61,40
61,42
57,39
56,39
57,35
56,35
57,32
51,38
51,40
51,42
48,40
51,36
48,36
48,32
48,30
48,28
48,27
51,23
48,14
48,13
48,12
55,11
57,15
55,20
56,20
57,20
58,20
61,23
64,25
64,24
64,22
64,21
71,17
74,18
80,19
84,18
97,14
94,18
94,19
94,21
94,23
97,29
103,30
107,29
104,26
103,23
110,23
109,21
109,20
109,19
107,14
103,13
108,0
103,5
94,9
94,11
86,6
87,13
80,17
79,17
71,13
71,6
61,9
62,0
61,0
60,0
57,5
57,8
51,7
51,9
40,6
41,13
38,18
34,19
34,17
33,17
33,19
32,19
28,18
25,17
25,13
25,6
18,18
18,19
18,21
18,22
15,25
12,26
11,26
10,26
5,29
9,26
10,24
11,24
15,20
15,15
11,5
2,9
2,11
0,12
2,15
5,15
10,14
11,14
12,17
11,17
10,17
9,17
5,20
5,25
2,24
0,25
0,26
0,27
0,28
2,34
5,35
2,36
2,38
2,40
2,42
0,43
0,44
0,45
2,44
2,47
2,49
2,51
0,51
2,53
2,55
0,57
2,57
5,60
2,60
2,62
2,63
0,63
2,65
2,67
0,69
2,70
2,72
5,72
2,73
2,75
5,75
5,78
0,76
0,82
5,82
9,83
10,84
9,86
10,88
5,86
5,90
9,90
15,89
15,85
15,82
25,84
25,85
28,89
28,91
25,97
